Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,4.314,1.264,0.0,0.883,0.143,0.0,0.0,0.0,0.0,0.029,0.022,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.143,0.0,1.46226,1.46226,1.46226,1.46226,0.0,1.02074,0.16542,0.0,0.0,0.0,0.0,0.03333,0.02596,0.0,0.04589,0.0,0.0,0.0,0.0,0.00499,0.16594,0.0,0.0,0.0,0.457,0.18,13.22,0.0,0.0,0.396,0.437,0.0,0.0,70.0,70.0,72.0,93.184,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,5.415,1.264,1.103,0.884,0.142,0.0,0.0,0.0,0.0,0.029,0.022,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.143,1.103,1.60348,1.60348,1.44096,1.44096,0.16252,1.00826,0.16164,0.0,0.0,0.0,0.0,0.03286,0.02559,0.0,0.04411,0.0,0.0,0.0,0.0,0.00492,0.1636,0.16252,0.0,0.0,0.0,0.0,13.469,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,72.0,93.184,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,5.289,1.284,0.908,0.903,0.144,0.0,0.0,0.0,0.0,0.029,0.022,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.143,0.908,1.5965,1.5965,1.4627,1.4627,0.1338,1.02854,0.16443,0.0,0.0,0.0,0.0,0.03283,0.02557,0.0,0.04294,0.0,0.0,0.0,0.0,0.00491,0.16347,0.1338,0.0,0.0,0.0,0.0,13.895,0.0,0.0,0.0,0.43,0.0,0.0,70.0,70.0,72.0,92.564,0.0,0.0,8.6,7.44,76.0,9.171,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,4.699,1.32,0.195,0.934,0.15,0.0,0.0,0.0,0.0,0.029,0.022,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.143,0.195,1.54257,1.54257,1.51391,1.51391,0.02866,1.07107,0.17248,0.0,0.0,0.0,0.0,0.03305,0.02574,0.0,0.04209,0.0,0.0,0.0,0.0,0.00495,0.16454,0.02866,0.0,0.0,0.0,0.0,14.377,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,72.0,92.335,0.0,0.0,6.8,5.721,76.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,5.757,1.364,1.103,0.971,0.158,0.0,0.0,0.0,0.0,0.029,0.022,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.143,1.103,1.73535,1.73535,1.57289,1.57289,0.16246,1.12003,0.18213,0.0,0.0,0.0,0.0,0.03323,0.02588,0.0,0.04118,0.0,0.0,0.0,0.0,0.00497,0.16546,0.16246,0.0,0.0,0.0,0.0,14.932,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,72.0,96.174,0.0,0.0,6.8,5.722,76.0,10.29,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,7.01,1.374,2.321,0.983,0.161,0.0,0.0,0.0,0.0,0.029,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.143,2.321,1.95369,1.95369,1.61179,1.61179,0.3419,1.1531,0.1885,0.0,0.0,0.0,0.0,0.0338,0.02117,0.0,0.04188,0.0,0.0,0.0,0.0,0.00506,0.16828,0.3419,0.0,0.0,2.05,0.808,15.063,0.0,0.0,1.781,0.438,0.0,0.0,70.0,70.0,72.0,94.087,0.0,0.0,6.8,5.723,76.0,9.171,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,7.375,1.838,1.103,0.941,0.153,0.0,0.0,0.0,0.0,0.118,0.017,0.0,0.038,0.0,0.0,0.0,0.386,0.007,0.179,1.103,2.34851,2.34851,2.18605,2.18605,0.16246,1.11918,0.18195,0.0,0.0,0.0,0.0,0.13988,0.02031,0.0,0.04482,0.0,0.0,0.0,0.45893,0.00855,0.21245,0.16246,0.0,0.0,0.0,0.0,14.325,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,72.0,91.373,0.0,0.0,5.0,4.0,76.0,5.816,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,5.284,1.549,0.0,0.985,0.162,0.0,0.0,0.0,0.0,0.145,0.017,0.0,0.04,0.0,0.0,0.0,0.0,0.008,0.193,0.0,1.81484,1.81484,1.81484,1.81484,0.0,1.15474,0.18928,0.0,0.0,0.0,0.0,0.16956,0.01944,0.0,0.0465,0.0,0.0,0.0,0.0,0.00895,0.22637,0.0,0.0,0.0,0.0,0.0,15.048,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,72.0,91.049,0.0,0.0,3.2,2.545,83.0,0.0,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,6.264,1.513,1.103,0.947,0.154,0.0,0.0,0.0,0.0,0.153,0.016,0.0,0.041,0.0,0.0,0.0,0.0,0.006,0.196,1.103,1.51143,1.51143,1.34897,1.34897,0.16246,0.84412,0.13767,0.0,0.0,0.0,0.0,0.13636,0.01436,0.0,0.03626,0.0,0.0,0.0,0.0,0.00547,0.17472,0.16246,0.0,0.0,0.0,0.0,14.366,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,72.0,87.829,0.0,0.0,6.8,5.725,76.0,0.0,0.0,0.0
