Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating Heat Pump Backup,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,18.95,0.36,17.723,0.05,0.0,0.053,0.0,0.0,0.035,0.025,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.153,17.723,0.0,3.02663,3.02663,0.41603,0.41603,2.6106,0.05783,0.0,0.06145,0.0,0.0,0.03998,0.02854,0.0,0.04589,0.0,0.0,0.0,0.0,0.00499,0.17736,2.6106,0.0,0.0,0.0,0.457,0.18,14.36,14.36,0.0,0.396,0.437,0.0,0.0,70.0,70.0,72.0,124.294,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,20.366,0.359,19.141,0.05,0.0,0.053,0.0,0.0,0.035,0.025,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.153,18.038,1.103,3.22857,3.22857,0.40903,0.40903,2.81954,0.05701,0.0,0.06058,0.0,0.0,0.03942,0.02814,0.0,0.04411,0.0,0.0,0.0,0.0,0.00492,0.17486,2.65702,0.16252,0.0,0.0,0.0,0.0,14.612,14.612,0.0,0.0,0.444,0.0,0.0,70.0,70.0,72.0,124.294,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,20.764,0.358,19.543,0.05,0.0,0.053,0.0,0.0,0.035,0.025,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.153,18.635,0.908,3.2863,3.2863,0.40758,0.40758,2.87871,0.05697,0.0,0.06054,0.0,0.0,0.03939,0.02811,0.0,0.04294,0.0,0.0,0.0,0.0,0.00491,0.17472,2.74492,0.13379,0.0,0.0,0.0,0.0,15.089,15.089,0.0,0.0,0.43,0.0,0.0,70.0,70.0,72.0,123.467,0.0,0.0,8.6,7.44,76.0,9.171,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,20.707,0.357,19.49,0.05,0.0,0.053,0.0,0.0,0.035,0.025,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.153,19.295,0.195,3.28,3.28,0.40913,0.40913,2.87087,0.05734,0.0,0.06094,0.0,0.0,0.03965,0.0283,0.0,0.04209,0.0,0.0,0.0,0.0,0.00495,0.17587,2.84221,0.02866,0.0,0.0,0.0,0.0,15.618,15.618,0.0,0.0,0.444,0.0,0.0,70.0,70.0,72.0,123.162,0.0,0.0,6.8,5.721,76.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,22.393,0.356,21.179,0.05,0.0,0.053,0.0,0.0,0.035,0.025,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.153,20.076,1.103,3.52994,3.52994,0.41026,0.41026,3.11967,0.05766,0.0,0.06128,0.0,0.0,0.03987,0.02846,0.0,0.04118,0.0,0.0,0.0,0.0,0.00497,0.17685,2.95721,0.16246,0.0,0.0,0.0,0.0,16.242,16.242,0.0,0.0,0.431,0.0,0.0,70.0,70.0,72.0,128.283,0.0,0.0,6.8,5.722,76.0,10.29,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,23.686,0.351,22.489,0.05,0.0,0.053,0.0,0.0,0.035,0.02,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.153,20.168,2.321,3.72416,3.72416,0.41158,0.41158,3.31258,0.05864,0.0,0.06232,0.0,0.0,0.04055,0.02328,0.0,0.04188,0.0,0.0,0.0,0.0,0.00506,0.17986,2.97068,0.3419,0.0,0.0,2.05,0.808,16.315,16.315,0.0,1.781,0.438,0.0,0.0,70.0,70.0,72.0,125.499,0.0,0.0,6.8,5.723,76.0,9.171,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,23.369,0.885,20.35,0.05,0.0,0.053,0.0,0.0,0.141,0.019,0.0,0.038,0.0,0.0,0.0,0.386,0.007,0.191,19.247,1.103,4.04967,4.04967,1.05213,1.05213,2.99754,0.05946,0.0,0.06318,0.0,0.0,0.1678,0.02233,0.0,0.04482,0.0,0.0,0.0,0.45893,0.00855,0.22707,2.83508,0.16246,0.0,0.0,0.0,0.0,15.579,15.579,0.0,0.0,0.431,0.0,0.0,70.0,70.0,72.0,121.879,0.0,0.0,5.0,4.0,76.0,5.816,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,22.096,0.549,20.224,0.05,0.0,0.053,0.0,0.0,0.174,0.018,0.0,0.04,0.0,0.0,0.0,0.0,0.008,0.206,20.224,0.0,3.62202,3.62202,0.64305,0.64305,2.97897,0.0586,0.0,0.06227,0.0,0.0,0.20341,0.02138,0.0,0.0465,0.0,0.0,0.0,0.0,0.00895,0.24195,2.97897,0.0,0.0,0.0,0.0,0.0,16.36,16.36,0.0,0.0,0.443,0.0,0.0,70.0,70.0,72.0,121.447,0.0,0.0,3.2,2.545,83.0,0.0,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,22.106,0.56,20.194,0.05,0.0,0.053,0.0,0.0,0.183,0.018,0.0,0.041,0.0,0.0,0.0,0.0,0.006,0.209,19.091,1.103,3.47435,3.47435,0.49983,0.49983,2.97452,0.04459,0.0,0.04738,0.0,0.0,0.16358,0.01579,0.0,0.03626,0.0,0.0,0.0,0.0,0.00547,0.18675,2.81206,0.16246,0.0,0.0,0.0,0.0,15.454,15.454,0.0,0.0,0.431,0.0,0.0,70.0,70.0,72.0,117.151,0.0,0.0,6.8,5.725,76.0,0.0,0.0,0.0
2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T15:00:00Z,19.354,0.561,17.438,0.05,0.0,0.053,0.0,0.0,0.188,0.015,0.0,0.041,0.0,0.0,0.0,0.0,0.005,0.209,17.438,0.0,2.99459,2.99459,0.42593,0.42593,2.56866,0.03793,0.0,0.04031,0.0,0.0,0.1429,0.01139,0.0,0.03085,0.0,0.0,0.0,0.0,0.00368,0.15886,2.56866,0.0,0.0,0.0,0.0,0.0,14.132,14.132,0.0,0.0,0.443,0.0,0.0,70.0,70.0,72.0,115.614,0.0,0.0,8.6,7.445,76.0,3.355,33.285,64.034
2007-01-01T11:00:00,2007-01-01T11:00:00,2007-01-01T16:00:00Z,20.95,0.552,19.065,0.05,0.0,0.053,0.0,0.0,0.183,0.012,0.0,0.04,0.0,0.0,0.0,0.0,0.005,0.209,15.561,3.504,3.22203,3.22203,0.41372,0.41372,2.80832,0.03745,0.0,0.03979,0.0,0.0,0.13738,0.00884,0.0,0.02971,0.0,0.0,0.0,0.0,0.00372,0.15683,2.29215,0.51617,0.0,0.0,2.285,0.901,12.63,12.63,0.0,1.98,0.437,0.0,0.0,70.0,70.0,72.0,108.976,0.0,0.0,14.0,11.861,64.0,3.355,54.524,37.089
2007-01-01T12:00:00,2007-01-01T12:00:00,2007-01-01T17:00:00Z,16.632,0.546,14.769,0.05,0.0,0.053,0.0,0.0,0.177,0.008,0.0,0.04,0.0,0.0,0.0,0.0,0.005,0.213,14.769,0.0,2.58268,2.58268,0.40714,0.40714,2.17553,0.0373,0.0,0.03964,0.0,0.0,0.13211,0.006,0.0,0.0296,0.0,0.0,0.0,0.0,0.00379,0.15869,2.17553,0.0,0.0,0.0,0.0,0.0,11.997,11.997,0.0,0.0,0.438,0.0,0.0,70.0,70.0,72.0,107.682,0.0,0.0,15.8,13.515,64.0,4.698,64.668,40.576
2007-01-01T13:00:00,2007-01-01T13:00:00,2007-01-01T18:00:00Z,20.949,0.747,18.401,0.05,0.0,0.053,0.0,0.0,0.173,0.006,0.0,0.042,0.202,0.0,0.0,0.0,0.005,0.216,16.126,2.275,3.26552,3.26552,0.55503,0.55503,2.71048,0.03716,0.0,0.03949,0.0,0.0,0.12846,0.00478,0.0,0.03096,0.15021,0.0,0.0,0.0,0.00369,0.16029,2.37531,0.33517,0.0,1.739,0.0,0.0,13.082,13.082,0.0,1.082,0.437,0.0,0.0,70.0,70.0,72.0,126.533,0.0,0.0,15.8,13.901,70.0,12.751,59.913,7.608
2007-01-01T14:00:00,2007-01-01T14:00:00,2007-01-01T19:00:00Z,18.508,0.657,16.267,0.05,0.0,0.053,0.0,0.0,0.035,0.006,0.0,0.042,0.314,0.0,0.0,0.0,0.004,0.153,13.943,2.324,2.87991,2.87991,0.48377,0.48377,2.39614,0.03683,0.0,0.03914,0.0,0.0,0.02546,0.00435,0.0,0.03068,0.23118,0.0,0.0,0.0,0.00318,0.11295,2.05388,0.34226,0.0,0.982,1.375,0.542,11.336,11.336,0.0,1.8,0.436,0.0,0.0,70.0,70.0,72.0,106.104,0.0,0.0,19.4,16.437,59.0,6.935,64.985,37.723
2007-01-01T15:00:00,2007-01-01T15:00:00,2007-01-01T20:00:00Z,16.01,0.343,14.84,0.05,0.0,0.053,0.0,0.0,0.035,0.006,0.0,0.042,0.0,0.0,0.0,0.0,0.004,0.153,13.736,1.103,2.439,2.439,0.25312,0.25312,2.18588,0.03691,0.0,0.03922,0.0,0.0,0.02552,0.00436,0.0,0.03075,0.0,0.0,0.0,0.0,0.00318,0.11319,2.02337,0.16251,0.0,0.0,0.0,0.0,11.17,11.17,0.0,0.0,0.443,0.0,0.0,70.0,70.0,72.0,104.397,0.0,0.0,19.4,16.067,54.0,5.816,57.06,46.599
2007-01-01T16:00:00,2007-01-01T16:00:00,2007-01-01T21:00:00Z,20.291,0.554,18.402,0.05,0.0,0.053,0.0,0.0,0.178,0.006,0.0,0.041,0.0,0.0,0.0,0.0,0.006,0.219,14.856,3.546,3.1441,3.1441,0.43352,0.43352,2.71058,0.03915,0.0,0.04161,0.0,0.0,0.13978,0.00504,0.0,0.03185,0.0,0.0,0.0,0.0,0.00462,0.17148,2.18823,0.52235,0.0,0.0,2.745,1.082,12.066,12.066,0.0,2.38,0.437,0.0,0.0,70.0,70.0,72.0,119.707,0.0,0.0,17.6,14.402,53.0,11.408,35.504,25.36
2007-01-01T17:00:00,2007-01-01T17:00:00,2007-01-01T22:00:00Z,17.849,0.976,14.517,0.05,0.0,0.053,0.0,0.0,0.202,0.01,0.0,0.044,0.0,0.0,0.0,0.386,0.007,0.225,13.414,1.103,3.17843,3.17843,1.04003,1.04003,2.1384,0.05326,0.0,0.0566,0.0,0.0,0.21495,0.01086,0.0,0.04649,0.0,0.0,0.0,0.41111,0.00716,0.2396,1.97593,0.16247,0.0,0.0,0.0,0.0,10.913,10.913,0.0,0.0,0.432,0.0,0.0,70.0,70.0,72.0,113.06,0.0,0.0,17.6,14.749,58.0,9.171,11.412,4.755
2007-01-01T18:00:00,2007-01-01T18:00:00,2007-01-01T23:00:00Z,22.923,1.01,19.475,0.05,0.0,0.053,0.0,0.0,0.476,0.02,0.03,0.048,0.0,0.0,0.0,0.0,0.012,0.321,17.167,2.308,4.0827,4.0827,1.21404,1.21404,2.86867,0.06008,0.0,0.06384,0.0,0.0,0.5722,0.02385,0.03605,0.0572,0.0,0.0,0.0,0.0,0.01488,0.38594,2.52876,0.33991,0.0,0.0,1.821,0.718,13.915,13.915,0.0,1.581,0.438,0.0,0.0,70.0,70.0,72.0,58.039,99.99,0.0,15.8,13.517,64.0,6.935,0.0,0.0
2007-01-01T19:00:00,2007-01-01T19:00:00,2007-01-02T00:00:00Z,20.067,1.425,15.203,0.05,0.0,0.053,0.0,0.0,0.622,0.026,0.0,0.05,0.282,0.0,0.0,0.0,0.015,0.327,12.894,2.309,3.94324,3.94324,1.70387,1.70387,2.23937,0.05977,0.0,0.06351,0.0,0.0,0.74383,0.03142,0.0,0.05928,0.33701,0.0,0.0,0.0,0.0176,0.39145,1.89924,0.34012,0.0,2.562,0.0,0.0,10.496,10.496,0.0,1.594,0.437,0.0,0.0,70.0,70.0,72.0,112.624,0.0,0.0,15.8,13.127,58.0,8.053,0.0,0.0
