Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,End Use: Electricity: Heating,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,5.887,1.725,1.485,0.0,0.0,0.0,0.035,0.025,0.0,0.035,0.0,0.0,0.0,0.0,0.004,0.142,1.99555,1.99555,1.99555,1.99555,1.71703,0.0,0.0,0.0,0.03998,0.02854,0.0,0.04059,0.0,0.0,0.0,0.0,0.00499,0.16443,0.0,0.0,0.455,0.179,5.066,0.0,0.396,0.123,0.0,0.0,70.0,70.0,70.0,73.018,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,5.958,1.746,1.506,0.0,0.0,0.0,0.035,0.025,0.0,0.034,0.0,0.0,0.0,0.0,0.004,0.142,1.99094,1.99094,1.99094,1.99094,1.71735,0.0,0.0,0.0,0.03942,0.02814,0.0,0.03901,0.0,0.0,0.0,0.0,0.00492,0.16211,0.0,0.0,0.0,0.0,5.139,0.0,0.0,0.12,0.0,0.0,70.0,70.0,70.0,73.018,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,6.283,1.841,1.602,0.0,0.0,0.0,0.035,0.025,0.0,0.033,0.0,0.0,0.0,0.0,0.004,0.142,2.09803,2.09803,2.09803,2.09803,1.82566,0.0,0.0,0.0,0.03939,0.02811,0.0,0.03798,0.0,0.0,0.0,0.0,0.00491,0.16198,0.0,0.0,0.0,0.0,5.468,0.0,0.0,0.118,0.0,0.0,70.0,70.0,70.0,73.103,0.0,0.0,8.6,7.44,76.0,9.171,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,7.43,2.178,1.702,0.0,0.0,0.237,0.035,0.025,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.142,2.49729,2.49729,2.49729,2.49729,1.95244,0.0,0.0,0.27168,0.03965,0.0283,0.0,0.03723,0.0,0.0,0.0,0.0,0.00495,0.16305,0.0,0.0,0.0,0.0,5.809,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,73.406,0.0,0.0,6.8,5.721,76.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,6.893,2.02,1.783,0.0,0.0,0.0,0.035,0.025,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.142,2.32977,2.32977,2.32977,2.32977,2.05609,0.0,0.0,0.0,0.03987,0.02846,0.0,0.03642,0.0,0.0,0.0,0.0,0.00497,0.16396,0.0,0.0,0.0,0.0,6.083,0.0,0.0,0.124,0.0,0.0,70.0,70.0,70.0,75.508,0.0,0.0,6.8,5.722,76.0,10.29,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,8.878,2.602,1.812,0.0,0.0,0.557,0.035,0.02,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.142,3.0517,3.0517,3.0517,3.0517,2.12517,0.0,0.0,0.65386,0.04055,0.02328,0.0,0.03704,0.0,0.0,0.0,0.0,0.00506,0.16674,0.0,0.0,2.052,0.809,6.183,0.0,1.781,0.121,0.0,0.0,70.0,70.0,70.0,74.362,0.0,0.0,6.8,5.723,76.0,9.171,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,8.128,2.382,1.619,0.0,0.0,0.0,0.141,0.019,0.0,0.033,0.0,0.0,0.0,0.386,0.007,0.177,2.83279,2.83279,2.83279,2.83279,1.92503,0.0,0.0,0.0,0.1678,0.02233,0.0,0.03965,0.0,0.0,0.0,0.45893,0.00855,0.21051,0.0,0.0,0.0,0.0,5.524,0.0,0.0,0.123,0.0,0.0,70.0,70.0,70.0,73.316,0.0,0.0,5.0,4.0,76.0,5.816,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,7.679,2.25,1.825,0.0,0.0,0.0,0.174,0.018,0.0,0.035,0.0,0.0,0.0,0.0,0.008,0.191,2.63752,2.63752,2.63752,2.63752,2.13835,0.0,0.0,0.0,0.20341,0.02138,0.0,0.04113,0.0,0.0,0.0,0.0,0.00895,0.22431,0.0,0.0,0.0,0.0,6.226,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,73.576,0.0,0.0,3.2,2.545,83.0,0.0,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,7.141,2.093,1.656,0.0,0.0,0.0,0.183,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.006,0.194,1.8664,1.8664,1.8664,1.8664,1.47635,0.0,0.0,0.0,0.16358,0.01579,0.0,0.03208,0.0,0.0,0.0,0.0,0.00547,0.17313,0.0,0.0,0.0,0.0,5.649,0.0,0.0,0.12,0.0,0.0,70.0,70.0,70.0,70.974,0.0,0.0,6.8,5.725,76.0,0.0,0.0,0.0
