occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0476
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.214
1,0.2,0.2,0.25,0,0,0,0.43,0.579,0.579,0,0,0
0.5,0.246,0.246,0,0,0,0,0.457,0.626,0.626,0,0,0
0.5,0.26,0.26,0,0,0,0,0.367,0.635,0.635,0,0,0
0.5,0.267,0.267,0,0,0,0,0.29,0.635,0.635,0,0,0
0.5,0.26,0.26,0,0,0,0,0.297,0.635,0.635,0,0,0.238
0.5,0.251,0.251,0,0,0,0,0.304,0.645,0.645,0,0,0
0.5,0.245,0.245,0,0.633,0,0,0.297,0.654,0.654,0.524,0,0
0,0.049,0.049,0,0.983,0,0,0.258,0.465,0.465,0.296,0,0.143
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.253,0.253,0,0,0,0,0.353,0.664,0.664,0,0,0.286
0.5,0.286,0.286,0.25,0,0,0,0.402,0.682,0.682,0,0,0
1,0.675,0.675,0,0,0,0,0.741,0.974,0.974,0,0,0.19
1,0.882,0.882,0,0.883,0,0,0.881,0.993,0.993,0.772,0,0
1,1,1,0,0.733,0,0,0.937,0.937,0.937,0,0,0.0952
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0,0.381
1,0.719,0.719,0,0,0,0,0.965,0.843,0.843,0,0,0.216
1,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0,0.167
1,0.148,0.148,0,0,0,0,0.478,0.57,0.57,0,0,0.391
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.238
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.388,0.532,0.532,0,0,0
1,0.049,0.049,0,0,0,0,0.381,0.523,0.523,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0808
1,0.2,0.2,0,0,0,0,0.43,0.579,0.579,0,0,0.0952
