Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,kBtu,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,24.849,0.477,23.221,0.174,0.05,0.0,0.015,0.007,0.0,0.035,0.0,0.0,0.0,0.0,0.004,0.192,23.221,0.0,0.0,3.97213,3.97213,0.55171,0.55171,3.42043,0.20099,0.05783,0.0,0.01684,0.00836,0.0,0.04059,0.0,0.0,0.0,0.0,0.00499,0.22212,3.42043,0.0,0.0,0.0,0.0,0.455,0.179,19.17,0.0,0.396,0.441,0.0,0.0,70.0,70.0,75.0,224.006,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,26.639,0.479,25.007,0.176,0.05,0.0,0.015,0.007,0.0,0.034,0.0,0.0,0.0,0.0,0.004,0.192,23.536,1.471,0.0,4.22907,4.22907,0.54561,0.54561,3.68346,0.20084,0.05701,0.0,0.0166,0.00824,0.0,0.03901,0.0,0.0,0.0,0.0,0.00492,0.21898,3.46681,0.21665,0.0,0.0,0.0,0.0,0.0,19.43,0.0,0.0,0.434,0.0,0.0,70.0,70.0,75.0,224.006,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,26.15,0.485,24.496,0.183,0.05,0.0,0.015,0.007,0.0,0.033,0.0,0.0,0.0,0.0,0.004,0.192,24.496,0.0,0.0,4.16061,4.16061,0.55238,0.55238,3.60823,0.20887,0.05697,0.0,0.01659,0.00824,0.0,0.03798,0.0,0.0,0.0,0.0,0.00491,0.21882,3.60823,0.0,0.0,0.0,0.0,0.0,0.0,20.222,0.0,0.0,0.442,0.0,0.0,70.0,70.0,75.0,224.273,0.0,0.0,8.6,7.44,76.0,9.171,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,27.165,0.491,25.489,0.191,0.05,0.0,0.015,0.007,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.192,25.489,0.0,0.0,4.31804,4.31804,0.56353,0.56353,3.75451,0.21877,0.05734,0.0,0.0167,0.00829,0.0,0.03723,0.0,0.0,0.0,0.0,0.00495,0.22026,3.75451,0.0,0.0,0.0,0.0,0.0,0.0,21.042,0.0,0.0,0.431,0.0,0.0,70.0,70.0,75.0,225.21,0.0,0.0,6.8,5.721,76.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,29.492,0.497,27.797,0.197,0.05,0.0,0.015,0.007,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.192,26.326,1.471,0.0,4.66737,4.66737,0.57288,0.57288,4.09449,0.22721,0.05766,0.0,0.01679,0.00834,0.0,0.03642,0.0,0.0,0.0,0.0,0.00497,0.22148,3.87781,0.21667,0.0,0.0,0.0,0.0,0.0,21.733,0.0,0.0,0.441,0.0,0.0,70.0,70.0,75.0,231.645,0.0,0.0,6.8,5.722,76.0,10.29,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,31.093,0.495,29.403,0.197,0.05,0.0,0.015,0.006,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.192,26.308,3.096,0.0,4.91191,4.91191,0.58081,0.58081,4.3311,0.23092,0.05864,0.0,0.01707,0.00682,0.0,0.03704,0.0,0.0,0.0,0.0,0.00506,0.22525,3.8751,0.456,0.0,0.0,0.0,2.055,0.81,21.718,0.0,1.781,0.436,0.0,0.0,70.0,70.0,75.0,228.137,0.0,0.0,6.8,5.723,76.0,9.171,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,30.147,0.611,28.062,0.19,0.05,0.0,0.059,0.006,0.0,0.033,0.0,0.0,0.0,0.026,0.007,0.239,25.421,0.0,2.641,4.86035,4.86035,0.72687,0.72687,4.13348,0.22624,0.05946,0.0,0.07066,0.00654,0.0,0.03965,0.0,0.0,0.0,0.0314,0.00855,0.28438,3.74453,0.0,0.38895,0.0,0.0,0.0,0.0,20.986,0.0,0.0,0.443,0.0,0.0,70.0,70.0,75.0,224.944,0.0,0.0,5.0,4.0,76.0,5.816,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,29.513,0.634,27.348,0.205,0.05,0.0,0.073,0.005,0.0,0.035,0.0,0.0,0.0,0.0,0.008,0.259,27.348,0.0,0.0,4.77185,4.77185,0.74348,0.74348,4.02836,0.23987,0.0586,0.0,0.08566,0.00626,0.0,0.04113,0.0,0.0,0.0,0.0,0.00895,0.30301,4.02836,0.0,0.0,0.0,0.0,0.0,0.0,22.577,0.0,0.0,0.432,0.0,0.0,70.0,70.0,75.0,225.748,0.0,0.0,3.2,2.545,83.0,0.0,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,29.05,0.627,26.91,0.19,0.05,0.0,0.077,0.005,0.0,0.036,0.0,0.0,0.0,0.0,0.006,0.262,25.439,1.471,0.0,4.52313,4.52313,0.55931,0.55931,3.96383,0.16978,0.04459,0.0,0.06889,0.00463,0.0,0.03208,0.0,0.0,0.0,0.0,0.00547,0.23388,3.74715,0.21667,0.0,0.0,0.0,0.0,0.0,21.001,0.0,0.0,0.44,0.0,0.0,70.0,70.0,75.0,217.764,0.0,0.0,6.8,5.725,76.0,0.0,0.0,0.0
