Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating Heat Pump Backup,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Conditioned Space,Temperature: Garage,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,kBtu,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,37.265,0.494,35.579,0.05,0.0,0.147,0.0,0.0,0.025,0.001,0.01,0.0,0.035,0.0,0.0,0.0,0.0,0.004,0.221,35.579,0.0,0.0,5.81221,5.81221,0.57139,0.57139,5.24082,0.05783,0.0,0.17,0.0,0.0,0.02907,0.00068,0.01207,0.0,0.04059,0.0,0.0,0.0,0.0,0.00499,0.25617,5.24082,0.0,0.0,0.0,0.0,0.519,0.199,28.965,28.965,0.0,0.448,0.454,0.0,0.0,12.817,68.0,38.156,68.0,72.0,177.016,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,39.936,0.493,38.254,0.05,0.0,0.147,0.0,0.0,0.025,0.001,0.01,0.0,0.034,0.0,0.0,0.0,0.0,0.004,0.221,36.782,1.472,0.0,6.1971,6.1971,0.56233,0.56233,5.63477,0.05701,0.0,0.1676,0.0,0.0,0.02866,0.00067,0.0119,0.0,0.03901,0.0,0.0,0.0,0.0,0.00492,0.25256,5.41793,0.21684,0.0,0.0,0.0,0.0,0.0,29.927,29.927,0.0,0.0,0.451,0.0,0.0,11.229,68.0,37.922,68.0,72.0,177.016,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,39.978,0.492,38.298,0.05,0.0,0.147,0.0,0.0,0.025,0.001,0.01,0.0,0.033,0.0,0.0,0.0,0.0,0.004,0.221,38.298,0.0,0.0,6.20218,6.20218,0.5609,0.5609,5.64128,0.05697,0.0,0.16747,0.0,0.0,0.02864,0.00067,0.01189,0.0,0.03798,0.0,0.0,0.0,0.0,0.00491,0.25236,5.64128,0.0,0.0,0.0,0.0,0.0,0.0,31.14,31.14,0.0,0.0,0.454,0.0,0.0,9.667,68.0,37.566,68.0,72.0,177.204,0.0,0.0,8.6,7.44,76.0,9.171,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,41.465,0.491,39.788,0.05,0.0,0.147,0.0,0.0,0.025,0.001,0.01,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.221,39.788,0.0,0.0,6.42432,6.42432,0.56358,0.56358,5.86074,0.05734,0.0,0.16858,0.0,0.0,0.02882,0.00068,0.01197,0.0,0.03723,0.0,0.0,0.0,0.0,0.00495,0.25402,5.86074,0.0,0.0,0.0,0.0,0.0,0.0,32.332,32.332,0.0,0.0,0.443,0.0,0.0,7.801,68.0,37.222,68.0,72.0,177.942,0.0,0.0,6.8,5.721,76.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,44.224,0.491,42.55,0.05,0.0,0.147,0.0,0.0,0.025,0.001,0.01,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.221,41.078,1.472,0.0,6.83333,6.83333,0.56571,0.56571,6.26762,0.05766,0.0,0.16952,0.0,0.0,0.02898,0.00068,0.01204,0.0,0.03642,0.0,0.0,0.0,0.0,0.00497,0.25544,6.05075,0.21687,0.0,0.0,0.0,0.0,0.0,33.364,33.364,0.0,0.0,0.459,0.0,0.0,6.809,68.0,36.903,68.0,72.0,183.226,0.0,0.0,6.8,5.722,76.0,10.29,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,46.366,0.489,44.699,0.05,0.0,0.147,0.0,0.0,0.025,0.001,0.008,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.221,41.589,3.11,0.0,7.15713,7.15713,0.57294,0.57294,6.58418,0.05864,0.0,0.1724,0.0,0.0,0.02948,0.00069,0.00985,0.0,0.03704,0.0,0.0,0.0,0.0,0.00506,0.25978,6.12609,0.45809,0.0,0.0,0.0,2.337,0.898,33.773,33.773,0.0,2.013,0.451,0.0,0.0,6.24,68.0,36.69,68.0,72.0,180.346,0.0,0.0,6.8,5.723,76.0,9.171,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,45.752,0.654,43.522,0.05,0.0,0.147,0.0,0.0,0.103,0.002,0.008,0.0,0.033,0.0,0.0,0.0,0.028,0.007,0.276,40.772,0.0,2.75,7.18818,7.18818,0.77742,0.77742,6.41076,0.05946,0.0,0.1748,0.0,0.0,0.12199,0.00286,0.00945,0.0,0.03965,0.0,0.0,0.0,0.0327,0.00855,0.32797,6.00566,0.0,0.4051,0.0,0.0,0.0,0.0,33.119,33.119,0.0,0.0,0.447,0.0,0.0,4.892,68.0,36.473,68.0,72.0,177.693,0.0,0.0,5.0,4.0,76.0,5.816,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,46.669,0.675,44.367,0.05,0.0,0.147,0.0,0.0,0.126,0.003,0.008,0.0,0.035,0.0,0.0,0.0,0.0,0.008,0.298,42.894,1.472,0.0,7.32599,7.32599,0.79081,0.79081,6.53519,0.0586,0.0,0.17227,0.0,0.0,0.14788,0.00347,0.00904,0.0,0.04113,0.0,0.0,0.0,0.0,0.00895,0.34947,6.31835,0.21684,0.0,0.0,0.0,0.0,0.0,34.817,34.817,0.0,0.0,0.452,0.0,0.0,2.189,68.0,36.227,68.0,72.0,178.324,0.0,0.0,3.2,2.545,83.0,0.0,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,43.898,0.686,41.559,0.05,0.0,0.147,0.0,0.0,0.133,0.003,0.007,0.0,0.036,0.0,0.0,0.0,0.0,0.006,0.302,41.559,0.0,0.0,6.73304,6.73304,0.61135,0.61135,6.12169,0.04459,0.0,0.13108,0.0,0.0,0.11893,0.00279,0.00668,0.0,0.03208,0.0,0.0,0.0,0.0,0.00547,0.26973,6.12169,0.0,0.0,0.0,0.0,0.0,0.0,33.749,33.749,0.0,0.0,0.453,0.0,0.0,1.706,68.0,36.26,68.0,72.0,171.821,0.0,0.0,6.8,5.725,76.0,0.0,0.0,0.0
