Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,21.316,0.429,19.853,0.148,0.05,0.0,0.032,0.022,0.0,0.04,0.0,0.004,0.132,19.853,0.0,0.0,3.13648,3.13648,0.2122,0.2122,2.92428,0.07331,0.02474,0.0,0.01601,0.0111,0.0,0.01963,0.0,0.00217,0.06524,2.92428,0.0,0.0,0.0,0.0,16.388,0.0,0.0,0.452,0.0,0.0,69.0,69.0,69.0,97.911,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,24.13,0.44,22.627,0.161,0.05,0.0,0.032,0.022,0.0,0.039,0.0,0.004,0.132,21.524,1.103,0.0,3.55137,3.55137,0.21837,0.21837,3.333,0.07966,0.02479,0.0,0.01605,0.01113,0.0,0.01918,0.0,0.00217,0.06539,3.1705,0.1625,0.0,0.0,0.0,17.767,0.0,0.0,0.439,0.0,0.0,69.0,69.0,69.0,105.995,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,22.554,0.436,21.066,0.157,0.05,0.0,0.032,0.022,0.0,0.038,0.0,0.004,0.132,21.066,0.0,0.0,3.31584,3.31584,0.21282,0.21282,3.10303,0.07675,0.02441,0.0,0.0158,0.01095,0.0,0.0184,0.0,0.00214,0.06437,3.10303,0.0,0.0,0.0,0.0,17.389,0.0,0.0,0.451,0.0,0.0,69.0,69.0,69.0,101.202,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,23.969,0.437,22.477,0.16,0.05,0.0,0.032,0.022,0.0,0.037,0.0,0.004,0.132,21.374,1.103,0.0,3.52554,3.52554,0.21471,0.21471,3.31084,0.07833,0.02455,0.0,0.01589,0.01102,0.0,0.01802,0.0,0.00215,0.06475,3.14833,0.1625,0.0,0.0,0.0,17.643,0.0,0.0,0.44,0.0,0.0,69.0,69.0,69.0,102.496,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,22.994,0.437,21.502,0.16,0.05,0.0,0.032,0.022,0.0,0.036,0.0,0.004,0.132,21.502,0.0,0.0,3.37747,3.37747,0.21025,0.21025,3.16721,0.07717,0.02404,0.0,0.01556,0.01079,0.0,0.01717,0.0,0.00211,0.06341,3.16721,0.0,0.0,0.0,0.0,17.749,0.0,0.0,0.449,0.0,0.0,69.0,69.0,69.0,102.496,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,23.8,0.431,22.33,0.158,0.05,0.0,0.032,0.018,0.0,0.036,0.0,0.004,0.132,21.226,1.103,0.0,3.48738,3.48738,0.19823,0.19823,3.28915,0.0729,0.02301,0.0,0.01489,0.00831,0.0,0.01643,0.0,0.00202,0.06068,3.12664,0.16251,0.0,0.0,0.0,17.522,0.0,0.0,0.442,0.0,0.0,69.0,69.0,69.0,100.191,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,25.406,0.698,23.024,0.155,0.05,0.0,0.232,0.017,0.0,0.038,0.0,0.01,0.197,20.711,2.314,0.0,3.71283,3.71283,0.32134,0.32134,3.3915,0.07116,0.02302,0.0,0.10677,0.00786,0.0,0.01735,0.0,0.0047,0.09047,3.05069,0.34081,0.0,1.771,0.632,17.096,0.0,1.66,0.446,0.0,0.0,69.0,69.0,69.0,101.012,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,22.945,0.427,21.487,0.152,0.05,0.0,0.032,0.017,0.0,0.04,0.0,0.004,0.132,20.384,1.103,0.0,3.35218,3.35218,0.18707,0.18707,3.1651,0.06665,0.0219,0.0,0.01418,0.00727,0.0,0.01738,0.0,0.00192,0.05777,3.00261,0.16249,0.0,0.0,0.0,16.827,0.0,0.0,0.438,0.0,0.0,69.0,69.0,69.0,97.141,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,22.6,0.433,21.122,0.158,0.05,0.0,0.032,0.016,0.0,0.041,0.0,0.004,0.132,21.122,0.0,0.0,3.2459,3.2459,0.13462,0.13462,3.11128,0.04901,0.01554,0.0,0.01006,0.005,0.0,0.01264,0.0,0.00136,0.04099,3.11128,0.0,0.0,0.0,0.0,17.436,0.0,0.0,0.452,0.0,0.0,69.0,69.0,69.0,101.158,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,20.915,0.41,19.514,0.137,0.05,0.0,0.032,0.014,0.0,0.041,0.0,0.004,0.132,18.411,1.103,0.0,2.9879,2.9879,0.11345,0.11345,2.87445,0.03799,0.01382,0.0,0.00895,0.00378,0.0,0.01124,0.0,0.00121,0.03646,2.71195,0.1625,0.0,0.0,0.0,15.198,0.0,0.0,0.44,0.0,0.0,69.0,69.0,69.0,98.012,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
