Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,11.752,0.28,10.796,0.048,0.05,0.0,0.02,0.018,0.0,0.04,0.0,0.004,0.1,10.796,0.0,1.72892,1.72892,0.1387,0.1387,1.59022,0.02372,0.02474,0.0,0.01003,0.00903,0.0,0.01963,0.0,0.00217,0.04939,1.59022,0.0,0.0,0.0,8.8,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,49.617,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,13.938,0.284,12.969,0.053,0.05,0.0,0.02,0.018,0.0,0.039,0.0,0.004,0.1,11.866,1.103,2.05121,2.05121,0.14087,0.14087,1.91034,0.02613,0.02479,0.0,0.01005,0.00905,0.0,0.01918,0.0,0.00217,0.0495,1.74788,0.16246,0.0,0.0,9.673,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,53.649,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,12.674,0.282,11.71,0.052,0.05,0.0,0.02,0.018,0.0,0.038,0.0,0.004,0.1,11.71,0.0,1.86277,1.86277,0.13786,0.13786,1.72491,0.02538,0.02441,0.0,0.00989,0.00891,0.0,0.0184,0.0,0.00214,0.04873,1.72491,0.0,0.0,0.0,9.546,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.259,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,14.051,0.283,13.086,0.053,0.05,0.0,0.02,0.018,0.0,0.037,0.0,0.004,0.1,11.983,1.103,2.06637,2.06637,0.13878,0.13878,1.9276,0.02613,0.02455,0.0,0.00995,0.00896,0.0,0.01802,0.0,0.00215,0.04902,1.76513,0.16246,0.0,0.0,9.768,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,51.904,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,13.092,0.282,12.129,0.054,0.05,0.0,0.02,0.018,0.0,0.036,0.0,0.004,0.1,12.129,0.0,1.92228,1.92228,0.13575,0.13575,1.78653,0.0259,0.02404,0.0,0.00974,0.00878,0.0,0.01717,0.0,0.00211,0.04801,1.78653,0.0,0.0,0.0,9.887,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.904,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,14.027,0.278,13.078,0.053,0.05,0.0,0.02,0.015,0.0,0.036,0.0,0.004,0.1,11.975,1.103,2.05432,2.05432,0.12794,0.12794,1.92639,0.02447,0.02301,0.0,0.00932,0.00676,0.0,0.01643,0.0,0.00202,0.04594,1.76392,0.16247,0.0,0.0,9.761,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,50.755,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,15.56,0.458,13.998,0.052,0.05,0.0,0.145,0.014,0.0,0.038,0.0,0.01,0.149,11.685,2.313,2.27256,2.27256,0.21069,0.21069,2.06187,0.02389,0.02302,0.0,0.06685,0.0064,0.0,0.01735,0.0,0.0047,0.06849,1.72115,0.34072,1.771,0.633,9.525,0.0,1.66,0.438,0.0,0.0,70.0,70.0,70.0,51.162,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,12.508,0.279,11.557,0.051,0.05,0.0,0.02,0.013,0.0,0.04,0.0,0.004,0.1,11.557,0.0,1.82449,1.82449,0.12221,0.12221,1.70228,0.02248,0.0219,0.0,0.00888,0.00591,0.0,0.01738,0.0,0.00192,0.04374,1.70228,0.0,0.0,0.0,9.42,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,49.23,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,14.056,0.282,13.095,0.053,0.05,0.0,0.02,0.013,0.0,0.041,0.0,0.004,0.1,11.992,1.103,2.01642,2.01642,0.08751,0.08751,1.92891,0.01655,0.01554,0.0,0.0063,0.00407,0.0,0.01264,0.0,0.00136,0.03104,1.7664,0.16251,0.0,0.0,9.775,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.232,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,9.944,0.266,9.035,0.04,0.05,0.0,0.02,0.011,0.0,0.041,0.0,0.004,0.1,9.035,0.0,1.40444,1.40444,0.07365,0.07365,1.3308,0.01109,0.01382,0.0,0.0056,0.00307,0.0,0.01124,0.0,0.00121,0.0276,1.3308,0.0,0.0,0.0,7.365,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,49.66,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
2007-01-01T11:00:00,2007-01-01T11:00:00,2007-01-01T17:00:00Z,10.479,0.261,9.59,0.038,0.05,0.0,0.02,0.009,0.0,0.04,0.0,0.004,0.1,8.473,1.116,1.48124,1.48124,0.06869,0.06869,1.41254,0.00992,0.01318,0.0,0.00534,0.0023,0.0,0.01046,0.0,0.00116,0.02632,1.24812,0.16442,0.44,0.157,6.907,0.0,0.413,0.437,0.0,0.0,70.0,70.0,70.0,50.749,0.0,0.0,1.4,0.043,62.0,10.29,23.141,227.288
2007-01-01T12:00:00,2007-01-01T12:00:00,2007-01-01T18:00:00Z,10.619,0.258,9.737,0.038,0.05,0.0,0.02,0.006,0.0,0.04,0.0,0.004,0.1,8.634,1.103,1.50062,1.50062,0.06638,0.06638,1.43424,0.00985,0.01284,0.0,0.0052,0.00153,0.0,0.01019,0.0,0.00113,0.02564,1.27173,0.16251,0.0,0.0,7.038,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,50.012,0.0,0.0,3.2,1.499,56.0,10.29,19.654,257.72
2007-01-01T13:00:00,2007-01-01T13:00:00,2007-01-01T19:00:00Z,9.402,0.259,8.519,0.038,0.05,0.0,0.02,0.005,0.0,0.042,0.0,0.004,0.1,8.519,0.0,1.3188,1.3188,0.06389,0.06389,1.25492,0.00934,0.01235,0.0,0.005,0.00118,0.0,0.01029,0.0,0.00108,0.02465,1.25492,0.0,0.0,0.0,6.945,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,48.235,0.0,0.0,5.0,2.952,51.0,9.171,37.723,218.412
2007-01-01T14:00:00,2007-01-01T14:00:00,2007-01-01T20:00:00Z,10.706,0.259,9.821,0.039,0.05,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,8.718,1.103,1.50938,1.50938,0.06269,0.06269,1.44669,0.00936,0.01209,0.0,0.0049,0.00106,0.0,0.01007,0.0,0.00106,0.02415,1.28418,0.16252,0.0,0.0,7.107,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,49.271,0.0,0.0,5.0,2.952,51.0,10.29,47.867,61.815
2007-01-01T15:00:00,2007-01-01T15:00:00,2007-01-01T21:00:00Z,9.338,0.258,8.457,0.038,0.05,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,8.457,0.0,1.30974,1.30974,0.06401,0.06401,1.24573,0.00931,0.0124,0.0,0.00503,0.00108,0.0,0.01033,0.0,0.00109,0.02476,1.24573,0.0,0.0,0.0,6.894,0.0,0.0,0.43,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,4.412,47.0,8.053,27.262,0.0
2007-01-01T16:00:00,2007-01-01T16:00:00,2007-01-01T22:00:00Z,10.516,0.258,9.637,0.038,0.05,0.0,0.02,0.005,0.0,0.041,0.0,0.004,0.1,8.533,1.103,1.49399,1.49399,0.07451,0.07451,1.41948,0.01095,0.01445,0.0,0.00586,0.00138,0.0,0.01175,0.0,0.00127,0.02886,1.25696,0.16252,0.0,0.0,6.956,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,4.411,47.0,8.053,17.752,32.651
2007-01-01T17:00:00,2007-01-01T17:00:00,2007-01-01T23:00:00Z,11.923,0.801,9.19,0.036,0.05,0.0,0.02,0.008,0.0,0.044,0.54,0.004,0.1,8.087,1.103,1.69909,1.69909,0.34546,0.34546,1.35362,0.01549,0.02156,0.0,0.00874,0.00325,0.0,0.01882,0.23266,0.00189,0.04305,1.19116,0.16246,0.0,0.0,6.592,0.0,0.0,0.43,0.0,0.0,70.0,70.0,70.0,48.524,0.0,0.0,6.8,4.64,52.0,10.29,1.585,22.19
2007-01-01T18:00:00,2007-01-01T18:00:00,2007-01-02T00:00:00Z,16.831,0.756,14.252,0.063,0.05,0.0,0.329,0.015,0.03,0.048,0.0,0.013,0.209,14.252,0.0,2.43593,2.43593,0.33663,0.33663,2.09931,0.02818,0.02227,0.0,0.14633,0.00654,0.01336,0.0212,0.0,0.00561,0.09313,2.09931,0.0,0.0,0.0,11.617,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,15.282,99.99,0.0,6.8,4.867,57.0,9.171,0.0,0.0
2007-01-01T19:00:00,2007-01-01T19:00:00,2007-01-02T01:00:00Z,11.653,0.784,8.978,0.035,0.05,0.0,0.402,0.019,0.0,0.05,0.0,0.015,0.213,7.875,1.103,1.68107,1.68107,0.35856,0.35856,1.32251,0.016,0.02287,0.0,0.18372,0.0089,0.0,0.02269,0.0,0.00685,0.09753,1.16005,0.16246,0.0,0.0,6.42,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,48.524,0.0,0.0,6.8,5.411,69.0,10.29,0.0,0.0
2007-01-01T20:00:00,2007-01-01T20:00:00,2007-01-02T02:00:00Z,10.69,0.781,8.025,0.036,0.05,0.0,0.405,0.026,0.0,0.048,0.0,0.016,0.201,8.025,0.0,1.51597,1.51597,0.33388,0.33388,1.18209,0.01523,0.02137,0.0,0.17308,0.01103,0.0,0.02035,0.0,0.00681,0.086,1.18209,0.0,0.0,0.0,6.542,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,48.235,0.0,0.0,5.0,4.295,83.0,9.171,0.0,0.0
2007-01-01T21:00:00,2007-01-01T21:00:00,2007-01-02T03:00:00Z,11.476,0.709,9.057,0.035,0.05,0.0,0.335,0.036,0.0,0.047,0.0,0.017,0.189,7.941,1.116,1.63525,1.63525,0.3012,0.3012,1.33405,0.01498,0.02124,0.0,0.14238,0.01535,0.0,0.0198,0.0,0.00717,0.08027,1.16967,0.16437,0.441,0.157,6.473,0.0,0.413,0.437,0.0,0.0,70.0,70.0,70.0,47.472,0.0,0.0,6.8,5.725,76.0,9.171,0.0,0.0
2007-01-01T22:00:00,2007-01-01T22:00:00,2007-01-02T04:00:00Z,12.608,0.624,10.48,0.036,0.05,0.0,0.253,0.042,0.0,0.046,0.0,0.016,0.181,8.166,2.313,1.82968,1.82968,0.28599,0.28599,1.54369,0.01663,0.02293,0.0,0.11588,0.01911,0.0,0.02092,0.0,0.00752,0.083,1.20291,0.34078,1.765,0.63,6.657,0.0,1.652,0.436,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,5.725,76.0,8.053,0.0,0.0
2007-01-01T23:00:00,2007-01-01T23:00:00,2007-01-02T05:00:00Z,16.279,0.295,15.273,0.04,0.05,0.0,0.02,0.036,0.0,0.044,0.0,0.004,0.1,9.113,6.16,2.38238,2.38238,0.13268,0.13268,2.24971,0.01822,0.02251,0.0,0.00912,0.01626,0.0,0.01965,0.0,0.00197,0.04495,1.34232,0.90738,3.967,1.417,7.428,0.0,3.716,0.437,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,6.04,83.0,8.053,0.0,0.0
