,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,6.471,1.897,1.324,0.04,0.331,0.0,0.0,0.0,0.027,0.021,0.0,0.04,0.0,0.004,0.11,0.93825,0.93825,0.93825,0.93825,0.65488,0.02,0.16378,0.0,0.0,0.0,0.01341,0.0102,0.0,0.01963,0.0,0.00217,0.05417,0.0,0.0,10.797,1.13,0.0,0.0,0.136,0.0,0.0,65.0,65.0,70.0,75.767,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,7.672,2.248,1.329,0.04,0.678,0.0,0.0,0.0,0.027,0.021,0.0,0.039,0.0,0.004,0.11,1.11484,1.11484,1.11484,1.11484,0.6591,0.02005,0.33637,0.0,0.0,0.0,0.01344,0.01023,0.0,0.01918,0.0,0.00217,0.05429,0.0,0.0,11.793,2.315,0.0,0.0,0.134,0.0,0.0,65.0,65.0,70.0,80.694,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,7.496,2.197,1.331,0.04,0.626,0.0,0.0,0.0,0.027,0.021,0.0,0.038,0.0,0.004,0.11,1.07235,1.07235,1.07235,1.07235,0.64953,0.01973,0.30579,0.0,0.0,0.0,0.01323,0.01007,0.0,0.0184,0.0,0.00214,0.05345,0.0,0.0,11.646,2.138,0.0,0.0,0.133,0.0,0.0,65.0,65.0,70.0,78.005,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,7.729,2.265,1.331,0.04,0.696,0.0,0.0,0.0,0.027,0.021,0.0,0.037,0.0,0.004,0.11,1.11219,1.11219,1.11219,1.11219,0.65335,0.01985,0.34162,0.0,0.0,0.0,0.01331,0.01013,0.0,0.01802,0.0,0.00215,0.05376,0.0,0.0,11.883,2.374,0.0,0.0,0.132,0.0,0.0,65.0,65.0,70.0,78.728,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,7.886,2.311,1.329,0.04,0.744,0.0,0.0,0.0,0.027,0.021,0.0,0.036,0.0,0.004,0.11,1.11134,1.11134,1.11134,1.11134,0.63917,0.01944,0.35784,0.0,0.0,0.0,0.01304,0.00992,0.0,0.01717,0.0,0.00211,0.05265,0.0,0.0,12.018,2.539,0.0,0.0,0.13,0.0,0.0,65.0,65.0,70.0,78.728,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,7.815,2.29,1.327,0.04,0.73,0.0,0.0,0.0,0.027,0.017,0.0,0.036,0.0,0.004,0.11,1.05378,1.05378,1.05378,1.05378,0.6105,0.0186,0.33574,0.0,0.0,0.0,0.01247,0.00763,0.0,0.01643,0.0,0.00202,0.05038,0.0,0.0,11.916,2.49,0.0,0.0,0.129,0.0,0.0,65.0,65.0,70.0,77.443,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,10.0,2.931,1.324,0.04,0.552,0.0,0.0,0.594,0.194,0.016,0.0,0.038,0.0,0.01,0.163,1.34914,1.34914,1.34914,1.34914,0.60935,0.01861,0.2541,0.0,0.0,0.27324,0.08944,0.00722,0.0,0.01735,0.0,0.0047,0.07512,1.769,0.632,11.551,1.883,0.0,1.66,0.133,0.0,0.0,65.0,65.0,70.0,77.496,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,6.835,2.003,1.322,0.04,0.445,0.0,0.0,0.0,0.027,0.015,0.0,0.04,0.0,0.004,0.11,0.8775,0.8775,0.8775,0.8775,0.57904,0.01771,0.19492,0.0,0.0,0.0,0.01188,0.00668,0.0,0.01738,0.0,0.00192,0.04797,0.0,0.0,11.433,1.518,0.0,0.0,0.13,0.0,0.0,65.0,65.0,70.0,74.926,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,8.044,2.357,1.322,0.04,0.56,0.0,0.0,0.238,0.027,0.015,0.0,0.041,0.0,0.004,0.11,0.7328,0.7328,0.7328,0.7328,0.4109,0.01257,0.17423,0.0,0.0,0.07403,0.00843,0.0046,0.0,0.01264,0.0,0.00136,0.03404,0.0,0.0,11.827,1.912,0.0,0.0,0.13,0.0,0.0,65.0,65.0,70.0,77.176,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,5.069,1.485,1.253,0.038,0.0,0.0,0.0,0.0,0.027,0.013,0.0,0.041,0.0,0.004,0.11,0.41067,0.41067,0.41067,0.41067,0.34648,0.01049,0.0,0.0,0.0,0.0,0.0075,0.00347,0.0,0.01124,0.0,0.00121,0.03027,0.0,0.0,9.626,0.0,0.0,0.0,0.136,0.0,0.0,65.0,65.0,70.0,75.001,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
