,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,7.187,2.106,1.798,0.043,0.05,0.0,0.0,0.032,0.022,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,1.04204,1.04204,1.04204,1.04204,0.88928,0.02128,0.02474,0.0,0.0,0.01601,0.0111,0.0,0.01963,0.0,0.0,0.0,0.0,0.00217,0.05784,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.125,0.0,0.0,70.0,70.0,70.0,44.912,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,7.765,2.276,1.964,0.047,0.05,0.0,0.0,0.032,0.022,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.117,1.12835,1.12835,1.12835,1.12835,0.97376,0.0233,0.02479,0.0,0.0,0.01605,0.01113,0.0,0.01918,0.0,0.0,0.0,0.0,0.00217,0.05797,0.0,0.0,0.0,0.0,6.862,0.0,0.0,0.123,0.0,0.0,70.0,70.0,70.0,47.603,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,7.727,2.264,1.954,0.047,0.05,0.0,0.0,0.032,0.022,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.117,1.1053,1.1053,1.1053,1.1053,0.95372,0.02282,0.02441,0.0,0.0,0.0158,0.01095,0.0,0.0184,0.0,0.0,0.0,0.0,0.00214,0.05707,0.0,0.0,0.0,0.0,6.827,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,46.14,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,7.886,2.311,2.0,0.048,0.05,0.0,0.0,0.032,0.022,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.117,1.13472,1.13472,1.13472,1.13472,0.98218,0.0235,0.02455,0.0,0.0,0.01589,0.01102,0.0,0.01802,0.0,0.0,0.0,0.0,0.00215,0.0574,0.0,0.0,0.0,0.0,6.989,0.0,0.0,0.121,0.0,0.0,70.0,70.0,70.0,46.533,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,7.987,2.341,2.03,0.049,0.05,0.0,0.0,0.032,0.022,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,1.12549,1.12549,1.12549,1.12549,0.97624,0.02336,0.02404,0.0,0.0,0.01556,0.01079,0.0,0.01717,0.0,0.0,0.0,0.0,0.00211,0.05622,0.0,0.0,0.0,0.0,7.093,0.0,0.0,0.12,0.0,0.0,70.0,70.0,70.0,46.533,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,7.959,2.333,2.027,0.048,0.05,0.0,0.0,0.032,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,1.07324,1.07324,1.07324,1.07324,0.93248,0.02231,0.02301,0.0,0.0,0.01489,0.00831,0.0,0.01643,0.0,0.0,0.0,0.0,0.00202,0.0538,0.0,0.0,0.0,0.0,7.081,0.0,0.0,0.119,0.0,0.0,70.0,70.0,70.0,45.835,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,10.395,3.046,1.928,0.046,0.05,0.0,0.551,0.232,0.017,0.0,0.038,0.0,0.0,0.0,0.0,0.01,0.174,1.40232,1.40232,1.40232,1.40232,0.88744,0.02123,0.02302,0.0,0.25372,0.10677,0.00786,0.0,0.01735,0.0,0.0,0.0,0.0,0.0047,0.08021,0.0,0.0,1.772,0.633,6.736,0.0,1.66,0.121,0.0,0.0,70.0,70.0,70.0,45.85,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,7.767,2.276,1.969,0.047,0.05,0.0,0.0,0.032,0.017,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.99717,0.99717,0.99717,0.99717,0.86266,0.02064,0.0219,0.0,0.0,0.01418,0.00727,0.0,0.01738,0.0,0.0,0.0,0.0,0.00192,0.05122,0.0,0.0,0.0,0.0,6.88,0.0,0.0,0.118,0.0,0.0,70.0,70.0,70.0,44.441,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,8.829,2.588,2.041,0.049,0.05,0.0,0.237,0.032,0.016,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,0.80438,0.80438,0.80438,0.80438,0.6346,0.01518,0.01554,0.0,0.07364,0.01006,0.005,0.0,0.01264,0.0,0.0,0.0,0.0,0.00136,0.03634,0.0,0.0,0.0,0.0,7.133,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,45.661,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,7.72,2.263,1.958,0.047,0.05,0.0,0.0,0.032,0.014,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,0.62552,0.62552,0.62552,0.62552,0.54124,0.01295,0.01382,0.0,0.0,0.00895,0.00378,0.0,0.01124,0.0,0.0,0.0,0.0,0.00121,0.03232,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.124,0.0,0.0,70.0,70.0,70.0,44.467,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
11,2007-01-01T11:00:00,2007-01-01T11:00:00,2007-01-01T17:00:00Z,7.612,2.231,1.931,0.046,0.05,0.0,0.0,0.032,0.011,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.58822,0.58822,0.58822,0.58822,0.50905,0.01218,0.01318,0.0,0.0,0.00853,0.00283,0.0,0.01046,0.0,0.0,0.0,0.0,0.00116,0.03083,0.0,0.0,0.441,0.158,6.745,0.0,0.413,0.121,0.0,0.0,70.0,70.0,70.0,44.903,0.0,0.0,1.4,0.043,62.0,10.29,23.141,227.288
12,2007-01-01T12:00:00,2007-01-01T12:00:00,2007-01-01T18:00:00Z,8.155,2.39,1.858,0.044,0.05,0.0,0.237,0.032,0.007,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.61381,0.61381,0.61381,0.61381,0.47717,0.01142,0.01284,0.0,0.06084,0.00831,0.00188,0.0,0.01019,0.0,0.0,0.0,0.0,0.00113,0.03003,0.0,0.0,0.0,0.0,6.491,0.0,0.0,0.12,0.0,0.0,70.0,70.0,70.0,44.215,0.0,0.0,3.2,1.499,56.0,10.29,19.654,257.72
13,2007-01-01T13:00:00,2007-01-01T13:00:00,2007-01-01T19:00:00Z,6.979,2.045,1.752,0.042,0.05,0.0,0.0,0.032,0.006,0.0,0.042,0.0,0.0,0.0,0.0,0.004,0.117,0.50503,0.50503,0.50503,0.50503,0.43266,0.01035,0.01235,0.0,0.0,0.00799,0.00145,0.0,0.01029,0.0,0.0,0.0,0.0,0.00108,0.02887,0.0,0.0,0.0,0.0,6.122,0.0,0.0,0.124,0.0,0.0,70.0,70.0,70.0,42.884,0.0,0.0,5.0,2.952,51.0,9.171,37.723,218.412
14,2007-01-01T14:00:00,2007-01-01T14:00:00,2007-01-01T20:00:00Z,6.95,2.037,1.744,0.042,0.05,0.0,0.0,0.032,0.005,0.0,0.042,0.0,0.0,0.0,0.0,0.004,0.117,0.49261,0.49261,0.49261,0.49261,0.42188,0.01009,0.01209,0.0,0.0,0.00783,0.0013,0.0,0.01007,0.0,0.0,0.0,0.0,0.00106,0.02828,0.0,0.0,0.0,0.0,6.095,0.0,0.0,0.123,0.0,0.0,70.0,70.0,70.0,43.523,0.0,0.0,5.0,2.952,51.0,10.29,47.867,61.815
