,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,7.192,2.108,0.05,0.0,1.783,0.059,0.0,0.0,0.0,0.032,0.022,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,1.04274,1.04274,1.04274,1.04274,0.02474,0.0,0.8821,0.02914,0.0,0.0,0.0,0.01601,0.0111,0.0,0.01963,0.0,0.0,0.0,0.0,0.00217,0.05784,0.0,0.0,0.0,0.0,6.285,6.285,0.0,0.0,0.125,0.0,0.0,70.0,70.0,70.0,44.912,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,7.769,2.277,0.05,0.0,1.953,0.059,0.0,0.0,0.0,0.032,0.022,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.117,1.12896,1.12896,1.12896,1.12896,0.02479,0.0,0.96846,0.02921,0.0,0.0,0.0,0.01605,0.01113,0.0,0.01918,0.0,0.0,0.0,0.0,0.00217,0.05797,0.0,0.0,0.0,0.0,6.866,6.866,0.0,0.0,0.123,0.0,0.0,70.0,70.0,70.0,47.603,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,7.73,2.266,0.05,0.0,1.943,0.059,0.0,0.0,0.0,0.032,0.022,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.117,1.10582,1.10582,1.10582,1.10582,0.02441,0.0,0.94831,0.02875,0.0,0.0,0.0,0.0158,0.01095,0.0,0.0184,0.0,0.0,0.0,0.0,0.00214,0.05707,0.0,0.0,0.0,0.0,6.83,6.83,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,46.14,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,7.889,2.312,0.05,0.0,1.99,0.059,0.0,0.0,0.0,0.032,0.022,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.117,1.13518,1.13518,1.13518,1.13518,0.02455,0.0,0.97722,0.02892,0.0,0.0,0.0,0.01589,0.01102,0.0,0.01802,0.0,0.0,0.0,0.0,0.00215,0.0574,0.0,0.0,0.0,0.0,6.992,6.992,0.0,0.0,0.121,0.0,0.0,70.0,70.0,70.0,46.533,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,7.99,2.342,0.05,0.0,2.021,0.059,0.0,0.0,0.0,0.032,0.022,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,1.12588,1.12588,1.12588,1.12588,0.02404,0.0,0.97166,0.02832,0.0,0.0,0.0,0.01556,0.01079,0.0,0.01717,0.0,0.0,0.0,0.0,0.00211,0.05622,0.0,0.0,0.0,0.0,7.096,7.096,0.0,0.0,0.12,0.0,0.0,70.0,70.0,70.0,46.533,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,7.962,2.333,0.05,0.0,2.017,0.059,0.0,0.0,0.0,0.032,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,1.07357,1.07357,1.07357,1.07357,0.02301,0.0,0.92802,0.0271,0.0,0.0,0.0,0.01489,0.00831,0.0,0.01643,0.0,0.0,0.0,0.0,0.00202,0.0538,0.0,0.0,0.0,0.0,7.083,7.083,0.0,0.0,0.119,0.0,0.0,70.0,70.0,70.0,45.835,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,10.397,3.047,0.05,0.0,1.916,0.059,0.0,0.0,0.551,0.232,0.017,0.0,0.038,0.0,0.0,0.0,0.0,0.01,0.174,1.4026,1.4026,1.4026,1.4026,0.02302,0.0,0.88185,0.02712,0.0,0.0,0.25372,0.10677,0.00786,0.0,0.01735,0.0,0.0,0.0,0.0,0.0047,0.08021,0.0,0.0,1.771,0.633,6.738,6.738,0.0,1.66,0.121,0.0,0.0,70.0,70.0,70.0,45.85,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,7.769,2.277,0.05,0.0,1.958,0.059,0.0,0.0,0.0,0.032,0.017,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.99741,0.99741,0.99741,0.99741,0.0219,0.0,0.85774,0.02581,0.0,0.0,0.0,0.01418,0.00727,0.0,0.01738,0.0,0.0,0.0,0.0,0.00192,0.05122,0.0,0.0,0.0,0.0,6.882,6.882,0.0,0.0,0.118,0.0,0.0,70.0,70.0,70.0,44.441,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,8.831,2.588,0.05,0.0,2.032,0.059,0.0,0.0,0.237,0.032,0.016,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,0.80453,0.80453,0.80453,0.80453,0.01554,0.0,0.63162,0.01831,0.0,0.0,0.07364,0.01006,0.005,0.0,0.01264,0.0,0.0,0.0,0.0,0.00136,0.03634,0.0,0.0,0.0,0.0,7.134,7.134,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,45.661,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,7.722,2.263,0.05,0.0,1.946,0.059,0.0,0.0,0.0,0.032,0.014,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,0.62564,0.62564,0.62564,0.62564,0.01382,0.0,0.53803,0.01629,0.0,0.0,0.0,0.00895,0.00378,0.0,0.01124,0.0,0.0,0.0,0.0,0.00121,0.03232,0.0,0.0,0.0,0.0,6.841,6.709,0.0,0.0,0.124,0.0,0.0,70.0,70.0,70.0,44.467,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
