,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating Heat Pump Backup,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,21.373,0.362,20.137,0.05,0.0,0.082,0.0,0.0,0.032,0.022,0.0,0.04,0.0,0.004,0.132,20.137,0.0,0.0,3.14539,3.14539,0.17924,0.17924,2.96615,0.02474,0.0,0.04035,0.0,0.0,0.01601,0.0111,0.0,0.01963,0.0,0.00217,0.06524,2.96615,0.0,0.0,0.0,0.0,16.388,16.388,0.0,0.0,0.452,0.0,0.0,69.0,69.0,69.0,97.911,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,24.198,0.361,22.965,0.05,0.0,0.082,0.0,0.0,0.032,0.022,0.0,0.039,0.0,0.004,0.132,21.862,1.103,0.0,3.56186,3.56186,0.17915,0.17915,3.38271,0.02479,0.0,0.04044,0.0,0.0,0.01605,0.01113,0.0,0.01918,0.0,0.00217,0.06539,3.22021,0.1625,0.0,0.0,0.0,17.768,17.768,0.0,0.0,0.439,0.0,0.0,69.0,69.0,69.0,105.995,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,22.618,0.36,21.389,0.05,0.0,0.082,0.0,0.0,0.032,0.022,0.0,0.038,0.0,0.004,0.132,21.389,0.0,0.0,3.32647,3.32647,0.17588,0.17588,3.15059,0.02441,0.0,0.03981,0.0,0.0,0.0158,0.01095,0.0,0.0184,0.0,0.00214,0.06437,3.15059,0.0,0.0,0.0,0.0,17.389,17.389,0.0,0.0,0.451,0.0,0.0,69.0,69.0,69.0,101.202,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,24.036,0.359,22.81,0.05,0.0,0.082,0.0,0.0,0.032,0.022,0.0,0.037,0.0,0.004,0.132,21.706,1.103,0.0,3.53626,3.53626,0.17642,0.17642,3.35984,0.02455,0.0,0.04005,0.0,0.0,0.01589,0.01102,0.0,0.01802,0.0,0.00215,0.06475,3.19734,0.1625,0.0,0.0,0.0,17.643,17.643,0.0,0.0,0.44,0.0,0.0,69.0,69.0,69.0,102.496,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,23.061,0.358,21.839,0.05,0.0,0.082,0.0,0.0,0.032,0.022,0.0,0.036,0.0,0.004,0.132,21.839,0.0,0.0,3.38912,3.38912,0.1723,0.1723,3.21682,0.02404,0.0,0.03922,0.0,0.0,0.01556,0.01079,0.0,0.01717,0.0,0.00211,0.06341,3.21682,0.0,0.0,0.0,0.0,17.749,17.749,0.0,0.0,0.449,0.0,0.0,69.0,69.0,69.0,102.496,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,23.865,0.354,22.658,0.05,0.0,0.082,0.0,0.0,0.032,0.018,0.0,0.036,0.0,0.004,0.132,21.554,1.103,0.0,3.50032,3.50032,0.16286,0.16286,3.33746,0.02301,0.0,0.03753,0.0,0.0,0.01489,0.00831,0.0,0.01643,0.0,0.00202,0.06068,3.17496,0.16251,0.0,0.0,0.0,17.522,17.522,0.0,0.0,0.442,0.0,0.0,69.0,69.0,69.0,100.191,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,25.469,0.625,23.336,0.05,0.0,0.082,0.0,0.0,0.232,0.017,0.0,0.038,0.0,0.01,0.197,21.022,2.314,0.0,3.72511,3.72511,0.28772,0.28772,3.43739,0.02302,0.0,0.03755,0.0,0.0,0.10677,0.00786,0.0,0.01735,0.0,0.0047,0.09047,3.09658,0.34081,0.0,1.771,0.632,17.096,17.096,0.0,1.66,0.446,0.0,0.0,69.0,69.0,69.0,101.012,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,23.005,0.356,21.789,0.05,0.0,0.082,0.0,0.0,0.032,0.017,0.0,0.04,0.0,0.004,0.132,20.685,1.103,0.0,3.36562,3.36562,0.15615,0.15615,3.20947,0.0219,0.0,0.03573,0.0,0.0,0.01418,0.00727,0.0,0.01738,0.0,0.00192,0.05777,3.04697,0.16249,0.0,0.0,0.0,16.827,16.827,0.0,0.0,0.438,0.0,0.0,69.0,69.0,69.0,97.141,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,22.665,0.357,21.447,0.05,0.0,0.082,0.0,0.0,0.032,0.016,0.0,0.041,0.0,0.004,0.132,21.447,0.0,0.0,3.27006,3.27006,0.11096,0.11096,3.1591,0.01554,0.0,0.02535,0.0,0.0,0.01006,0.005,0.0,0.01264,0.0,0.00136,0.04099,3.1591,0.0,0.0,0.0,0.0,17.436,17.436,0.0,0.0,0.452,0.0,0.0,69.0,69.0,69.0,101.158,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,20.962,0.355,19.753,0.05,0.0,0.082,0.0,0.0,0.032,0.014,0.0,0.041,0.0,0.004,0.132,18.649,1.103,0.0,3.00756,3.00756,0.09801,0.09801,2.90955,0.01382,0.0,0.02255,0.0,0.0,0.00895,0.00378,0.0,0.01124,0.0,0.00121,0.03646,2.74705,0.1625,0.0,0.0,0.0,15.198,15.198,0.0,0.0,0.44,0.0,0.0,69.0,69.0,69.0,98.012,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
