,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,8.707,0.323,7.606,0.057,0.05,0.0,0.032,0.022,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,7.606,0.0,1.27997,1.27997,0.15965,0.15965,1.12031,0.02816,0.02474,0.0,0.01601,0.0111,0.0,0.01963,0.0,0.0,0.0,0.0,0.00217,0.05784,1.12031,0.0,0.0,0.0,0.0,0.0,6.279,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,69.081,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,10.894,0.33,9.769,0.065,0.05,0.0,0.032,0.022,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.117,8.666,1.103,1.60246,1.60246,0.16345,0.16345,1.43901,0.03216,0.02479,0.0,0.01605,0.01113,0.0,0.01918,0.0,0.0,0.0,0.0,0.00217,0.05797,1.27655,0.16246,0.0,0.0,0.0,0.0,7.154,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,74.696,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,9.546,0.327,8.43,0.063,0.05,0.0,0.032,0.022,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.117,8.43,0.0,1.40138,1.40138,0.15956,0.15956,1.24181,0.0308,0.02441,0.0,0.0158,0.01095,0.0,0.0184,0.0,0.0,0.0,0.0,0.00214,0.05707,1.24181,0.0,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,71.368,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,10.866,0.328,9.748,0.065,0.05,0.0,0.032,0.022,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.117,8.645,1.103,1.59671,1.59671,0.1608,0.1608,1.43591,0.03177,0.02455,0.0,0.01589,0.01102,0.0,0.01802,0.0,0.0,0.0,0.0,0.00215,0.0574,1.27344,0.16246,0.0,0.0,0.0,0.0,7.137,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,72.267,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,9.855,0.327,8.739,0.065,0.05,0.0,0.032,0.022,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,8.739,0.0,1.44458,1.44458,0.15734,0.15734,1.28724,0.03145,0.02404,0.0,0.01556,0.01079,0.0,0.01717,0.0,0.0,0.0,0.0,0.00211,0.05622,1.28724,0.0,0.0,0.0,0.0,0.0,7.214,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,72.267,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,10.79,0.322,9.692,0.064,0.05,0.0,0.032,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,8.589,1.103,1.57572,1.57572,0.14802,0.14802,1.42769,0.02958,0.02301,0.0,0.01489,0.00831,0.0,0.01643,0.0,0.0,0.0,0.0,0.00202,0.0538,1.26523,0.16247,0.0,0.0,0.0,0.0,7.091,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,70.667,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,12.41,0.582,10.424,0.061,0.05,0.0,0.232,0.017,0.0,0.038,0.0,0.0,0.0,0.0,0.01,0.174,8.111,2.313,1.80334,1.80334,0.26786,0.26786,1.53549,0.02794,0.02302,0.0,0.10677,0.00786,0.0,0.01735,0.0,0.0,0.0,0.0,0.0047,0.08021,1.19479,0.3407,0.0,0.0,1.769,0.632,6.696,0.0,1.66,0.438,0.0,0.0,70.0,70.0,70.0,71.233,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,9.134,0.32,8.042,0.06,0.05,0.0,0.032,0.017,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,8.042,0.0,1.32483,1.32483,0.14023,0.14023,1.18459,0.02637,0.0219,0.0,0.01418,0.00727,0.0,0.01738,0.0,0.0,0.0,0.0,0.00192,0.05122,1.18459,0.0,0.0,0.0,0.0,0.0,6.639,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,68.543,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,10.685,0.324,9.58,0.063,0.05,0.0,0.032,0.016,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,8.477,1.103,1.51181,1.51181,0.10068,0.10068,1.41113,0.01972,0.01554,0.0,0.01006,0.005,0.0,0.01264,0.0,0.0,0.0,0.0,0.00136,0.03634,1.24862,0.16251,0.0,0.0,0.0,0.0,6.998,0.0,0.0,0.442,0.0,0.0,70.0,70.0,70.0,71.33,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,8.983,0.317,7.901,0.059,0.05,0.0,0.032,0.014,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,7.901,0.0,1.25145,1.25145,0.08767,0.08767,1.16378,0.01635,0.01382,0.0,0.00895,0.00378,0.0,0.01124,0.0,0.0,0.0,0.0,0.00121,0.03232,1.16378,0.0,0.0,0.0,0.0,0.0,6.522,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,69.142,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
11,2007-01-01T11:00:00,2007-01-01T11:00:00,2007-01-01T17:00:00Z,9.999,0.313,8.932,0.058,0.05,0.0,0.032,0.011,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,7.816,1.116,1.39817,1.39817,0.08242,0.08242,1.31575,0.01542,0.01318,0.0,0.00853,0.00283,0.0,0.01046,0.0,0.0,0.0,0.0,0.00116,0.03083,1.15133,0.16442,0.0,0.0,0.44,0.157,6.453,0.0,0.413,0.437,0.0,0.0,70.0,70.0,70.0,70.658,0.0,0.0,1.4,0.043,62.0,10.29,23.141,227.288
12,2007-01-01T12:00:00,2007-01-01T12:00:00,2007-01-01T18:00:00Z,9.551,0.306,8.507,0.055,0.05,0.0,0.032,0.007,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,7.404,1.103,1.33167,1.33167,0.07861,0.07861,1.25306,0.01423,0.01284,0.0,0.00831,0.00188,0.0,0.01019,0.0,0.0,0.0,0.0,0.00113,0.03003,1.09055,0.16251,0.0,0.0,0.0,0.0,6.112,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,69.633,0.0,0.0,3.2,1.499,56.0,10.29,19.654,257.72
13,2007-01-01T13:00:00,2007-01-01T13:00:00,2007-01-01T19:00:00Z,7.855,0.302,6.823,0.051,0.05,0.0,0.032,0.006,0.0,0.042,0.0,0.0,0.0,0.0,0.004,0.117,6.823,0.0,1.07973,1.07973,0.07463,0.07463,1.0051,0.01261,0.01235,0.0,0.00799,0.00145,0.0,0.01029,0.0,0.0,0.0,0.0,0.00108,0.02887,1.0051,0.0,0.0,0.0,0.0,0.0,5.633,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,67.157,0.0,0.0,5.0,2.952,51.0,9.171,37.723,218.412
