,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,2.437,0.714,0.0,0.429,0.069,0.0,0.0,0.0,0.0,0.032,0.022,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.0,0.35328,0.35328,0.35328,0.35328,0.0,0.21216,0.03437,0.0,0.0,0.0,0.0,0.01601,0.0111,0.0,0.01963,0.0,0.0,0.0,0.0,0.00217,0.05784,0.0,0.0,0.0,0.0,0.0,6.279,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,69.081,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,3.735,0.771,1.103,0.478,0.078,0.0,0.0,0.0,0.0,0.032,0.022,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.117,1.103,0.54494,0.54494,0.38248,0.38248,0.16246,0.2372,0.03877,0.0,0.0,0.0,0.0,0.01605,0.01113,0.0,0.01918,0.0,0.0,0.0,0.0,0.00217,0.05797,0.16246,0.0,0.0,0.0,0.0,7.154,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,74.696,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,2.574,0.754,0.0,0.465,0.075,0.0,0.0,0.0,0.0,0.032,0.022,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.117,0.0,0.36815,0.36815,0.36815,0.36815,0.0,0.22695,0.03685,0.0,0.0,0.0,0.0,0.0158,0.01095,0.0,0.0184,0.0,0.0,0.0,0.0,0.00214,0.05707,0.0,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,71.368,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,3.719,0.767,1.103,0.476,0.078,0.0,0.0,0.0,0.0,0.032,0.022,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.117,1.103,0.53895,0.53895,0.37649,0.37649,0.16246,0.23386,0.03814,0.0,0.0,0.0,0.0,0.01589,0.01102,0.0,0.01802,0.0,0.0,0.0,0.0,0.00215,0.0574,0.16246,0.0,0.0,0.0,0.0,7.137,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,72.267,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,2.638,0.773,0.0,0.482,0.079,0.0,0.0,0.0,0.0,0.032,0.022,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,0.0,0.37176,0.37176,0.37176,0.37176,0.0,0.23193,0.03798,0.0,0.0,0.0,0.0,0.01556,0.01079,0.0,0.01717,0.0,0.0,0.0,0.0,0.00211,0.05622,0.0,0.0,0.0,0.0,0.0,7.214,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,72.267,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,3.701,0.761,1.103,0.476,0.078,0.0,0.0,0.0,0.0,0.032,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,1.103,0.51277,0.51277,0.35031,0.35031,0.16247,0.21901,0.03585,0.0,0.0,0.0,0.0,0.01489,0.00831,0.0,0.01643,0.0,0.0,0.0,0.0,0.00202,0.0538,0.16247,0.0,0.0,0.0,0.0,7.091,0.0,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,70.667,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,5.716,0.997,2.313,0.453,0.074,0.0,0.0,0.0,0.0,0.232,0.017,0.0,0.038,0.0,0.0,0.0,0.0,0.01,0.174,2.313,0.7998,0.7998,0.4591,0.4591,0.3407,0.20832,0.03388,0.0,0.0,0.0,0.0,0.10677,0.00786,0.0,0.01735,0.0,0.0,0.0,0.0,0.0047,0.08021,0.3407,0.0,0.0,1.769,0.632,6.696,0.0,0.0,1.66,0.438,0.0,0.0,70.0,70.0,70.0,71.233,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,2.498,0.732,0.0,0.449,0.073,0.0,0.0,0.0,0.0,0.032,0.017,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.0,0.3207,0.3207,0.3207,0.3207,0.0,0.19676,0.03198,0.0,0.0,0.0,0.0,0.01418,0.00727,0.0,0.01738,0.0,0.0,0.0,0.0,0.00192,0.05122,0.0,0.0,0.0,0.0,0.0,6.639,0.0,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,68.543,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,3.693,0.759,1.103,0.471,0.077,0.0,0.0,0.0,0.0,0.032,0.016,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,1.103,0.39848,0.39848,0.23597,0.23597,0.16251,0.14656,0.024,0.0,0.0,0.0,0.0,0.01006,0.005,0.0,0.01264,0.0,0.0,0.0,0.0,0.00136,0.03634,0.16251,0.0,0.0,0.0,0.0,6.998,0.0,0.0,0.0,0.442,0.0,0.0,70.0,70.0,70.0,71.33,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,2.467,0.723,0.0,0.443,0.072,0.0,0.0,0.0,0.0,0.032,0.014,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,0.0,0.19987,0.19987,0.19987,0.19987,0.0,0.12247,0.0199,0.0,0.0,0.0,0.0,0.00895,0.00378,0.0,0.01124,0.0,0.0,0.0,0.0,0.00121,0.03232,0.0,0.0,0.0,0.0,0.0,6.522,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,69.142,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
