,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating Heat Pump Backup,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,11.78,0.252,10.92,0.05,0.0,0.02,0.0,0.0,0.02,0.018,0.0,0.04,0.0,0.004,0.1,10.92,0.0,1.73324,1.73324,0.12471,0.12471,1.60854,0.02474,0.0,0.00972,0.0,0.0,0.01003,0.00903,0.0,0.01963,0.0,0.00217,0.04939,1.60854,0.0,0.0,0.0,8.803,8.803,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,49.617,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,13.968,0.251,13.111,0.05,0.0,0.02,0.0,0.0,0.02,0.018,0.0,0.039,0.0,0.004,0.1,12.008,1.103,2.05577,2.05577,0.12449,0.12449,1.93128,0.02479,0.0,0.00974,0.0,0.0,0.01005,0.00905,0.0,0.01918,0.0,0.00217,0.0495,1.76881,0.16246,0.0,0.0,9.674,9.674,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,53.649,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,12.703,0.25,11.849,0.05,0.0,0.02,0.0,0.0,0.02,0.018,0.0,0.038,0.0,0.004,0.1,11.849,0.0,1.86746,1.86746,0.12207,0.12207,1.74539,0.02441,0.0,0.00959,0.0,0.0,0.00989,0.00891,0.0,0.0184,0.0,0.00214,0.04873,1.74539,0.0,0.0,0.0,9.546,9.546,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.259,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,14.08,0.249,13.23,0.05,0.0,0.02,0.0,0.0,0.02,0.018,0.0,0.037,0.0,0.004,0.1,12.127,1.103,2.07112,2.07112,0.1223,0.1223,1.94882,0.02455,0.0,0.00965,0.0,0.0,0.00995,0.00896,0.0,0.01802,0.0,0.00215,0.04902,1.78635,0.16246,0.0,0.0,9.769,9.769,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,51.904,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,13.122,0.248,12.275,0.05,0.0,0.02,0.0,0.0,0.02,0.018,0.0,0.036,0.0,0.004,0.1,12.275,0.0,1.92744,1.92744,0.1193,0.1193,1.80814,0.02404,0.0,0.00945,0.0,0.0,0.00974,0.00878,0.0,0.01717,0.0,0.00211,0.04801,1.80814,0.0,0.0,0.0,9.887,9.887,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.904,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,14.056,0.245,13.222,0.05,0.0,0.02,0.0,0.0,0.02,0.015,0.0,0.036,0.0,0.004,0.1,12.119,1.103,2.06007,2.06007,0.11251,0.11251,1.94755,0.02301,0.0,0.00904,0.0,0.0,0.00932,0.00676,0.0,0.01643,0.0,0.00202,0.04594,1.78509,0.16247,0.0,0.0,9.762,9.762,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,50.755,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,15.588,0.425,14.136,0.05,0.0,0.02,0.0,0.0,0.145,0.014,0.0,0.038,0.0,0.01,0.149,11.823,2.313,2.27805,2.27805,0.19585,0.19585,2.0822,0.02302,0.0,0.00905,0.0,0.0,0.06685,0.0064,0.0,0.01735,0.0,0.0047,0.06849,1.7415,0.34071,1.77,0.632,9.525,9.525,0.0,1.66,0.438,0.0,0.0,70.0,70.0,70.0,51.162,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,12.536,0.247,11.692,0.05,0.0,0.02,0.0,0.0,0.02,0.013,0.0,0.04,0.0,0.004,0.1,11.692,0.0,1.83059,1.83059,0.10834,0.10834,1.72226,0.0219,0.0,0.00861,0.0,0.0,0.00888,0.00591,0.0,0.01738,0.0,0.00192,0.04374,1.72226,0.0,0.0,0.0,9.421,9.421,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,49.23,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,14.085,0.248,13.239,0.05,0.0,0.02,0.0,0.0,0.02,0.013,0.0,0.041,0.0,0.004,0.1,12.136,1.103,2.02715,2.02715,0.07706,0.07706,1.95009,0.01554,0.0,0.00611,0.0,0.0,0.0063,0.00407,0.0,0.01264,0.0,0.00136,0.03104,1.78757,0.16251,0.0,0.0,9.776,9.776,0.0,0.0,0.442,0.0,0.0,70.0,70.0,70.0,51.232,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,9.961,0.246,9.122,0.05,0.0,0.02,0.0,0.0,0.02,0.011,0.0,0.041,0.0,0.004,0.1,9.122,0.0,1.4117,1.4117,0.06799,0.06799,1.34372,0.01382,0.0,0.00543,0.0,0.0,0.0056,0.00307,0.0,0.01124,0.0,0.00121,0.0276,1.34372,0.0,0.0,0.0,7.365,7.365,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,49.66,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
11,2007-01-01T11:00:00,2007-01-01T11:00:00,2007-01-01T17:00:00Z,10.494,0.243,9.667,0.05,0.0,0.02,0.0,0.0,0.02,0.009,0.0,0.04,0.0,0.004,0.1,8.55,1.116,1.48783,1.48783,0.06395,0.06395,1.42388,0.01318,0.0,0.00518,0.0,0.0,0.00534,0.0023,0.0,0.01046,0.0,0.00116,0.02632,1.25946,0.16442,0.44,0.157,6.907,6.907,0.0,0.413,0.437,0.0,0.0,70.0,70.0,70.0,50.749,0.0,0.0,1.4,0.043,62.0,10.29,23.141,227.288
12,2007-01-01T12:00:00,2007-01-01T12:00:00,2007-01-01T18:00:00Z,10.635,0.24,9.817,0.05,0.0,0.02,0.0,0.0,0.02,0.006,0.0,0.04,0.0,0.004,0.1,8.714,1.103,1.50761,1.50761,0.06158,0.06158,1.44602,0.01284,0.0,0.00505,0.0,0.0,0.0052,0.00153,0.0,0.01019,0.0,0.00113,0.02564,1.28351,0.16251,0.0,0.0,7.038,7.038,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,50.012,0.0,0.0,3.2,1.499,56.0,10.29,19.654,257.72
13,2007-01-01T13:00:00,2007-01-01T13:00:00,2007-01-01T19:00:00Z,9.418,0.241,8.597,0.05,0.0,0.02,0.0,0.0,0.02,0.005,0.0,0.042,0.0,0.004,0.1,8.597,0.0,1.32578,1.32578,0.0594,0.0594,1.26638,0.01235,0.0,0.00485,0.0,0.0,0.005,0.00118,0.0,0.01029,0.0,0.00108,0.02465,1.26638,0.0,0.0,0.0,6.945,6.945,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,48.235,0.0,0.0,5.0,2.952,51.0,9.171,37.723,218.412
14,2007-01-01T14:00:00,2007-01-01T14:00:00,2007-01-01T20:00:00Z,10.722,0.24,9.903,0.05,0.0,0.02,0.0,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,8.8,1.103,1.51678,1.51678,0.05808,0.05808,1.4587,0.01209,0.0,0.00475,0.0,0.0,0.0049,0.00106,0.0,0.01007,0.0,0.00106,0.02415,1.29618,0.16252,0.0,0.0,7.107,7.107,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,49.271,0.0,0.0,5.0,2.952,51.0,10.29,47.867,61.815
15,2007-01-01T15:00:00,2007-01-01T15:00:00,2007-01-01T21:00:00Z,9.353,0.24,8.534,0.05,0.0,0.02,0.0,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,8.534,0.0,1.31658,1.31658,0.05957,0.05957,1.25701,0.0124,0.0,0.00487,0.0,0.0,0.00503,0.00108,0.0,0.01033,0.0,0.00109,0.02476,1.25701,0.0,0.0,0.0,6.894,6.894,0.0,0.0,0.43,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,4.412,47.0,8.053,27.262,0.0
16,2007-01-01T16:00:00,2007-01-01T16:00:00,2007-01-01T22:00:00Z,10.532,0.24,9.715,0.05,0.0,0.02,0.0,0.0,0.02,0.005,0.0,0.041,0.0,0.004,0.1,8.611,1.103,1.5002,1.5002,0.06924,0.06924,1.43096,0.01445,0.0,0.00568,0.0,0.0,0.00586,0.00138,0.0,0.01175,0.0,0.00127,0.02886,1.26844,0.16252,0.0,0.0,6.956,6.956,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,4.411,47.0,8.053,17.752,32.651
