,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating Heat Pump Backup,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,33.972,0.439,32.476,0.05,0.0,0.066,0.0,0.0,0.045,0.029,0.0,0.035,0.0,0.0,0.0,0.0,0.004,0.209,32.476,0.0,5.00062,5.00062,0.21697,0.21697,4.78365,0.02474,0.0,0.03289,0.0,0.0,0.02231,0.01431,0.0,0.01736,0.0,0.0,0.0,0.0,0.00213,0.10323,4.78365,0.0,0.0,0.0,0.462,0.182,26.207,26.207,0.0,0.446,0.424,0.0,0.0,0.202,72.0,72.0,75.0,247.904,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,38.425,0.438,36.931,0.05,0.0,0.066,0.0,0.0,0.045,0.029,0.0,0.034,0.0,0.0,0.0,0.0,0.004,0.209,35.461,1.47,5.65701,5.65701,0.21702,0.21702,5.43999,0.02479,0.0,0.03296,0.0,0.0,0.02236,0.01434,0.0,0.01696,0.0,0.0,0.0,0.0,0.00214,0.10346,5.22343,0.21656,0.0,0.0,0.0,0.0,28.596,28.596,0.0,0.0,0.419,0.0,0.0,-2.278,72.0,72.0,75.0,262.269,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,36.382,0.437,34.892,0.05,0.0,0.066,0.0,0.0,0.045,0.029,0.0,0.033,0.0,0.0,0.0,0.0,0.004,0.209,34.892,0.0,5.35278,5.35278,0.21321,0.21321,5.13957,0.02441,0.0,0.03245,0.0,0.0,0.02201,0.01412,0.0,0.01627,0.0,0.0,0.0,0.0,0.0021,0.10185,5.13957,0.0,0.0,0.0,0.0,0.0,28.14,28.14,0.0,0.0,0.426,0.0,0.0,-3.869,72.0,72.0,75.0,254.482,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,36.904,0.436,35.417,0.05,0.0,0.066,0.0,0.0,0.045,0.029,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.209,35.417,0.0,5.43094,5.43094,0.21403,0.21403,5.21691,0.02455,0.0,0.03264,0.0,0.0,0.02214,0.0142,0.0,0.01594,0.0,0.0,0.0,0.0,0.00212,0.10245,5.21691,0.0,0.0,0.0,0.0,0.0,28.56,28.56,0.0,0.0,0.416,0.0,0.0,-4.954,72.0,72.0,75.0,256.572,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,38.604,0.435,37.12,0.05,0.0,0.066,0.0,0.0,0.045,0.029,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.209,35.649,1.47,5.67691,5.67691,0.20919,0.20919,5.46772,0.02404,0.0,0.03197,0.0,0.0,0.02168,0.01391,0.0,0.01519,0.0,0.0,0.0,0.0,0.00207,0.10034,5.25115,0.21658,0.0,0.0,0.0,0.0,28.746,28.746,0.0,0.0,0.424,0.0,0.0,-5.598,72.0,72.0,75.0,256.572,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,40.059,0.429,38.594,0.05,0.0,0.066,0.0,0.0,0.045,0.023,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.209,35.469,3.125,5.88249,5.88249,0.19757,0.19757,5.68491,0.02301,0.0,0.03059,0.0,0.0,0.02075,0.0107,0.0,0.01453,0.0,0.0,0.0,0.0,0.00198,0.09601,5.22454,0.46038,0.0,0.0,2.202,0.868,28.602,28.602,0.0,2.12,0.421,0.0,0.0,-5.863,72.0,72.0,75.0,252.856,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,37.122,1.009,33.679,0.05,0.0,0.066,0.0,0.0,0.184,0.022,0.0,0.033,0.0,0.0,0.0,0.386,0.007,0.26,33.679,0.0,5.42545,5.42545,0.46454,0.46454,4.96091,0.02302,0.0,0.0306,0.0,0.0,0.08488,0.01013,0.0,0.01535,0.0,0.0,0.0,0.17765,0.00331,0.11961,4.96091,0.0,0.0,0.0,0.0,0.0,27.17,27.17,0.0,0.0,0.42,0.0,0.0,-5.165,72.0,72.0,75.0,252.895,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,36.447,0.689,34.097,0.05,0.0,0.066,0.0,0.0,0.227,0.021,0.0,0.035,0.0,0.0,0.0,0.0,0.008,0.281,32.627,1.47,5.32425,5.32425,0.30174,0.30174,5.02251,0.0219,0.0,0.02912,0.0,0.0,0.09957,0.00936,0.0,0.01537,0.0,0.0,0.0,0.0,0.00335,0.12306,4.80596,0.21655,0.0,0.0,0.0,0.0,26.328,26.328,0.0,0.0,0.416,0.0,0.0,-4.155,72.0,72.0,75.0,245.362,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,35.827,0.704,33.424,0.05,0.0,0.066,0.0,0.0,0.24,0.021,0.0,0.036,0.0,0.0,0.0,0.0,0.006,0.285,33.424,0.0,5.14226,5.14226,0.21895,0.21895,4.92331,0.01554,0.0,0.02067,0.0,0.0,0.07463,0.00645,0.0,0.01118,0.0,0.0,0.0,0.0,0.00191,0.08858,4.92331,0.0,0.0,0.0,0.0,0.0,26.966,26.966,0.0,0.0,0.428,0.0,0.0,-3.715,72.0,72.0,75.0,251.853,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,33.561,0.705,31.154,0.05,0.0,0.066,0.0,0.0,0.246,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.005,0.285,31.154,0.0,4.78406,4.78406,0.19502,0.19502,4.58904,0.01382,0.0,0.01838,0.0,0.0,0.06788,0.00487,0.0,0.00994,0.0,0.0,0.0,0.0,0.00134,0.07878,4.58904,0.0,0.0,0.0,0.0,0.0,25.15,25.15,0.0,0.0,0.417,0.0,0.0,0.938,72.0,72.0,75.0,245.457,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
