,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Freezer,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating Heat Pump Backup,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Freezer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Clothes Dryer,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Conditioned Space,Temperature: Garage,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,21.787,0.513,20.038,0.05,0.0,0.082,0.0,0.0,0.055,0.002,0.033,0.0,0.04,0.029,0.0,0.0,0.0,0.0,0.004,0.217,20.038,0.0,0.0,3.20514,3.20514,0.25361,0.25361,2.95152,0.02474,0.0,0.04065,0.0,0.0,0.02728,0.00116,0.01626,0.0,0.01963,0.01449,0.0,0.0,0.0,0.0,0.00213,0.10727,2.95152,0.0,0.0,0.0,0.0,0.527,0.202,16.31,16.31,0.0,0.504,0.455,0.0,0.0,1.732,68.0,17.516,68.0,72.0,93.751,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,25.353,0.511,23.61,0.05,0.0,0.082,0.0,0.0,0.055,0.002,0.033,0.0,0.039,0.029,0.0,0.0,0.0,0.0,0.004,0.217,22.139,1.472,0.0,3.73109,3.73109,0.25332,0.25332,3.47777,0.02479,0.0,0.04074,0.0,0.0,0.02734,0.00116,0.01629,0.0,0.01918,0.01416,0.0,0.0,0.0,0.0,0.00214,0.10751,3.261,0.21676,0.0,0.0,0.0,0.0,0.0,17.991,17.991,0.0,0.0,0.455,0.0,0.0,-1.146,68.0,16.083,68.0,72.0,100.804,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,24.031,0.509,22.294,0.05,0.0,0.082,0.0,0.0,0.055,0.002,0.033,0.0,0.038,0.028,0.0,0.0,0.0,0.0,0.004,0.217,22.294,0.0,0.0,3.53239,3.53239,0.24854,0.24854,3.28385,0.02441,0.0,0.04011,0.0,0.0,0.02692,0.00114,0.01604,0.0,0.0184,0.01359,0.0,0.0,0.0,0.0,0.0021,0.10583,3.28385,0.0,0.0,0.0,0.0,0.0,0.0,18.115,18.115,0.0,0.0,0.455,0.0,0.0,-2.572,68.0,14.657,68.0,72.0,96.731,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,26.146,0.507,24.414,0.05,0.0,0.082,0.0,0.0,0.055,0.002,0.033,0.0,0.037,0.027,0.0,0.0,0.0,0.0,0.004,0.217,22.943,1.471,0.0,3.8454,3.8454,0.24915,0.24915,3.59625,0.02455,0.0,0.04035,0.0,0.0,0.02708,0.00115,0.01613,0.0,0.01802,0.01331,0.0,0.0,0.0,0.0,0.00212,0.10646,3.37952,0.21673,0.0,0.0,0.0,0.0,0.0,18.635,18.635,0.0,0.0,0.446,0.0,0.0,-3.545,68.0,13.574,68.0,72.0,97.828,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,25.093,0.506,23.367,0.05,0.0,0.082,0.0,0.0,0.055,0.002,0.033,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.004,0.217,23.367,0.0,0.0,3.6852,3.6852,0.24317,0.24317,3.44203,0.02404,0.0,0.03951,0.0,0.0,0.02652,0.00112,0.0158,0.0,0.01717,0.01268,0.0,0.0,0.0,0.0,0.00207,0.10426,3.44203,0.0,0.0,0.0,0.0,0.0,0.0,18.974,18.974,0.0,0.0,0.461,0.0,0.0,-4.027,68.0,12.764,68.0,72.0,97.828,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,28.447,0.499,26.743,0.05,0.0,0.082,0.0,0.0,0.055,0.002,0.026,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.004,0.217,23.588,3.155,0.0,4.169,4.169,0.22974,0.22974,3.93927,0.02301,0.0,0.03781,0.0,0.0,0.02537,0.00108,0.01216,0.0,0.01643,0.01213,0.0,0.0,0.0,0.0,0.00198,0.09976,3.4745,0.46476,0.0,0.0,0.0,2.51,0.964,19.151,19.151,0.0,2.397,0.453,0.0,0.0,-4.05,68.0,12.182,68.0,72.0,95.874,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,27.745,1.137,23.866,0.05,0.0,0.082,0.0,0.0,0.226,0.01,0.025,0.0,0.038,0.028,0.0,0.0,0.0,0.402,0.007,0.27,22.395,1.472,0.0,4.03878,4.03878,0.52326,0.52326,3.51552,0.02302,0.0,0.03783,0.0,0.0,0.10381,0.0044,0.01151,0.0,0.01735,0.01281,0.0,0.0,0.0,0.18495,0.00331,0.12428,3.29877,0.21676,0.0,0.0,0.0,0.0,0.0,18.196,18.196,0.0,0.0,0.453,0.0,0.0,-3.303,68.0,11.825,68.0,72.0,96.379,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,25.168,0.815,22.388,0.05,0.0,0.082,0.0,0.0,0.278,0.012,0.024,0.0,0.04,0.029,0.0,0.0,0.0,0.0,0.008,0.292,22.388,0.0,0.0,3.65466,3.65466,0.3569,0.3569,3.29776,0.0219,0.0,0.036,0.0,0.0,0.12177,0.00516,0.01064,0.0,0.01738,0.01283,0.0,0.0,0.0,0.0,0.00335,0.12787,3.29776,0.0,0.0,0.0,0.0,0.0,0.0,18.191,18.191,0.0,0.0,0.456,0.0,0.0,-2.371,68.0,11.723,68.0,72.0,92.904,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,25.77,0.835,22.922,0.05,0.0,0.082,0.0,0.0,0.294,0.012,0.024,0.0,0.041,0.03,0.0,0.0,0.0,0.0,0.006,0.296,22.922,0.0,0.0,3.63592,3.63592,0.25948,0.25948,3.37644,0.01554,0.0,0.02554,0.0,0.0,0.09127,0.00387,0.00733,0.0,0.01264,0.00934,0.0,0.0,0.0,0.0,0.00191,0.09204,3.37644,0.0,0.0,0.0,0.0,0.0,0.0,18.618,18.618,0.0,0.0,0.445,0.0,0.0,-1.912,68.0,11.667,68.0,72.0,96.314,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,25.996,0.837,23.14,0.05,0.0,0.082,0.0,0.0,0.3,0.013,0.02,0.0,0.041,0.03,0.0,0.0,0.0,0.0,0.005,0.296,21.669,1.472,0.0,3.63992,3.63992,0.23136,0.23136,3.40856,0.01382,0.0,0.02272,0.0,0.0,0.08302,0.00352,0.00553,0.0,0.01124,0.0083,0.0,0.0,0.0,0.0,0.00134,0.08186,3.19177,0.21679,0.0,0.0,0.0,0.0,0.0,17.615,17.615,0.0,0.0,0.461,0.0,0.0,2.395,68.0,12.255,68.0,72.0,93.448,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
