,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Freezer,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Freezer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Clothes Dryer,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Conditioned Space,Temperature: Garage,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,5.596,1.64,0.0,1.073,0.186,0.0,0.0,0.0,0.0,0.055,0.002,0.033,0.0,0.04,0.029,0.0,0.0,0.0,0.0,0.004,0.217,0.0,0.0,0.81132,0.81132,0.81132,0.81132,0.0,0.53101,0.09209,0.0,0.0,0.0,0.0,0.02728,0.00116,0.01626,0.0,0.01963,0.01449,0.0,0.0,0.0,0.0,0.00213,0.10727,0.0,0.0,0.0,0.0,0.527,0.202,16.31,0.0,0.0,0.504,0.455,0.0,0.0,1.732,68.0,17.516,68.0,72.0,93.751,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,7.373,1.73,1.472,1.151,0.2,0.0,0.0,0.0,0.0,0.055,0.002,0.033,0.0,0.039,0.029,0.0,0.0,0.0,0.0,0.004,0.217,1.472,0.0,1.07431,1.07431,0.85755,0.85755,0.21676,0.57081,0.09895,0.0,0.0,0.0,0.0,0.02734,0.00116,0.01629,0.0,0.01918,0.01416,0.0,0.0,0.0,0.0,0.00214,0.10751,0.21676,0.0,0.0,0.0,0.0,0.0,17.991,0.0,0.0,0.0,0.455,0.0,0.0,-1.146,68.0,16.083,68.0,72.0,100.804,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,5.902,1.73,0.0,1.153,0.199,0.0,0.0,0.0,0.0,0.055,0.002,0.033,0.0,0.038,0.028,0.0,0.0,0.0,0.0,0.004,0.217,0.0,0.0,0.84426,0.84426,0.84426,0.84426,0.0,0.56295,0.09728,0.0,0.0,0.0,0.0,0.02692,0.00114,0.01604,0.0,0.0184,0.01359,0.0,0.0,0.0,0.0,0.0021,0.10583,0.0,0.0,0.0,0.0,0.0,0.0,18.115,0.0,0.0,0.0,0.455,0.0,0.0,-2.572,68.0,14.657,68.0,72.0,96.731,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,7.504,1.768,1.471,1.186,0.207,0.0,0.0,0.0,0.0,0.055,0.002,0.033,0.0,0.037,0.027,0.0,0.0,0.0,0.0,0.004,0.217,1.471,0.0,1.08483,1.08483,0.8681,0.8681,0.21673,0.58239,0.10145,0.0,0.0,0.0,0.0,0.02708,0.00115,0.01613,0.0,0.01802,0.01331,0.0,0.0,0.0,0.0,0.00212,0.10646,0.21673,0.0,0.0,0.0,0.0,0.0,18.635,0.0,0.0,0.0,0.446,0.0,0.0,-3.545,68.0,13.574,68.0,72.0,97.828,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,6.122,1.794,0.0,1.209,0.212,0.0,0.0,0.0,0.0,0.055,0.002,0.033,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.004,0.217,0.0,0.0,0.86272,0.86272,0.86272,0.86272,0.0,0.58123,0.10188,0.0,0.0,0.0,0.0,0.02652,0.00112,0.0158,0.0,0.01717,0.01268,0.0,0.0,0.0,0.0,0.00207,0.10426,0.0,0.0,0.0,0.0,0.0,0.0,18.974,0.0,0.0,0.0,0.461,0.0,0.0,-4.027,68.0,12.764,68.0,72.0,97.828,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,9.308,1.803,3.155,1.221,0.215,0.0,0.0,0.0,0.0,0.055,0.002,0.026,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.004,0.217,3.155,0.0,1.29448,1.29448,0.82972,0.82972,0.46476,0.56193,0.09887,0.0,0.0,0.0,0.0,0.02537,0.00108,0.01216,0.0,0.01643,0.01213,0.0,0.0,0.0,0.0,0.00198,0.09976,0.46476,0.0,0.0,0.0,2.51,0.964,19.151,0.0,0.0,2.397,0.453,0.0,0.0,-4.05,68.0,12.182,68.0,72.0,95.874,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,9.594,2.38,1.472,1.171,0.205,0.0,0.0,0.0,0.0,0.226,0.01,0.025,0.0,0.038,0.028,0.0,0.0,0.0,0.402,0.007,0.27,1.472,0.0,1.31252,1.31252,1.09576,1.09576,0.21676,0.53906,0.09428,0.0,0.0,0.0,0.0,0.10381,0.0044,0.01151,0.0,0.01735,0.01281,0.0,0.0,0.0,0.18495,0.00331,0.12428,0.21676,0.0,0.0,0.0,0.0,0.0,18.196,0.0,0.0,0.0,0.453,0.0,0.0,-3.303,68.0,11.825,68.0,72.0,96.379,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,7.031,2.06,0.0,1.173,0.205,0.0,0.0,0.0,0.0,0.278,0.012,0.024,0.0,0.04,0.029,0.0,0.0,0.0,0.0,0.008,0.292,0.0,0.0,0.90261,0.90261,0.90261,0.90261,0.0,0.51364,0.08997,0.0,0.0,0.0,0.0,0.12177,0.00516,0.01064,0.0,0.01738,0.01283,0.0,0.0,0.0,0.0,0.00335,0.12787,0.0,0.0,0.0,0.0,0.0,0.0,18.191,0.0,0.0,0.0,0.456,0.0,0.0,-2.371,68.0,11.723,68.0,72.0,92.904,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,7.204,2.111,0.0,1.198,0.211,0.0,0.0,0.0,0.0,0.294,0.012,0.024,0.0,0.041,0.03,0.0,0.0,0.0,0.0,0.006,0.296,0.0,0.0,0.65626,0.65626,0.65626,0.65626,0.0,0.37233,0.06554,0.0,0.0,0.0,0.0,0.09127,0.00387,0.00733,0.0,0.01264,0.00934,0.0,0.0,0.0,0.0,0.00191,0.09204,0.0,0.0,0.0,0.0,0.0,0.0,18.618,0.0,0.0,0.0,0.445,0.0,0.0,-1.912,68.0,11.667,68.0,72.0,96.314,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,8.457,2.047,1.472,1.143,0.2,0.0,0.0,0.0,0.0,0.3,0.013,0.02,0.0,0.041,0.03,0.0,0.0,0.0,0.0,0.005,0.296,1.472,0.0,0.78272,0.78272,0.56594,0.56594,0.21679,0.31594,0.05518,0.0,0.0,0.0,0.0,0.08302,0.00352,0.00553,0.0,0.01124,0.0083,0.0,0.0,0.0,0.0,0.00134,0.08186,0.21679,0.0,0.0,0.0,0.0,0.0,17.615,0.0,0.0,0.0,0.461,0.0,0.0,2.395,68.0,12.255,68.0,72.0,93.448,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
