Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,End Use: Electricity: Heating,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,2.985,0.875,0.63,0.0,0.0,0.0,0.034,0.025,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.142,1.01176,1.01176,1.01176,1.01176,0.72894,0.0,0.0,0.0,0.03899,0.02854,0.0,0.04589,0.0,0.0,0.0,0.0,0.00499,0.16443,0.0,0.0,0.45,0.177,2.151,0.0,0.403,0.123,0.0,0.0,70.0,70.0,70.0,54.074,0.0,0.0,30.2,25.62,55.0,5.816,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,2.974,0.872,0.628,0.0,0.0,0.0,0.034,0.025,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.142,0.99394,0.99394,0.99394,0.99394,0.71624,0.0,0.0,0.0,0.03844,0.02814,0.0,0.04411,0.0,0.0,0.0,0.0,0.00492,0.16211,0.0,0.0,0.0,0.0,2.143,0.0,0.0,0.119,0.0,0.0,70.0,70.0,70.0,52.655,0.0,0.0,30.2,25.62,55.0,0.0,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,3.133,0.918,0.676,0.0,0.0,0.0,0.034,0.025,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.142,1.04615,1.04615,1.04615,1.04615,0.76979,0.0,0.0,0.0,0.03841,0.02811,0.0,0.04294,0.0,0.0,0.0,0.0,0.00491,0.16198,0.0,0.0,0.0,0.0,2.305,0.0,0.0,0.118,0.0,0.0,70.0,70.0,70.0,53.474,0.0,0.0,30.2,26.148,60.0,4.698,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,3.984,1.168,0.689,0.0,0.0,0.237,0.034,0.025,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.142,1.33908,1.33908,1.33908,1.33908,0.79036,0.0,0.0,0.27168,0.03866,0.0283,0.0,0.04209,0.0,0.0,0.0,0.0,0.00495,0.16305,0.0,0.0,0.0,0.0,2.352,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,52.998,0.0,0.0,30.2,26.775,66.0,3.355,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,3.287,0.963,0.723,0.0,0.0,0.0,0.034,0.025,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.142,1.11102,1.11102,1.11102,1.11102,0.83358,0.0,0.0,0.0,0.03888,0.02846,0.0,0.04118,0.0,0.0,0.0,0.0,0.00497,0.16396,0.0,0.0,0.0,0.0,2.466,0.0,0.0,0.124,0.0,0.0,70.0,70.0,70.0,53.474,0.0,0.0,30.2,27.292,71.0,4.698,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,5.567,1.632,0.831,0.0,0.0,0.565,0.034,0.02,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.142,1.91352,1.91352,1.91352,1.91352,0.97415,0.0,0.0,0.66288,0.03954,0.02328,0.0,0.04188,0.0,0.0,0.0,0.0,0.00506,0.16674,0.0,0.0,2.146,0.846,2.834,0.0,1.918,0.121,0.0,0.0,70.0,70.0,70.0,57.162,0.0,0.0,30.2,27.29,71.0,9.171,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,4.334,1.27,0.506,0.0,0.0,0.0,0.137,0.019,0.0,0.038,0.0,0.0,0.0,0.386,0.007,0.177,1.51034,1.51034,1.51034,1.51034,0.6021,0.0,0.0,0.0,0.16311,0.02233,0.0,0.04482,0.0,0.0,0.0,0.45893,0.00855,0.21051,0.0,0.0,0.0,0.0,1.728,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,52.555,0.0,0.0,32.0,28.393,66.0,5.816,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,4.011,1.176,0.749,0.0,0.0,0.0,0.169,0.018,0.0,0.04,0.0,0.0,0.0,0.0,0.008,0.191,1.37781,1.37781,1.37781,1.37781,0.87834,0.0,0.0,0.0,0.19834,0.02138,0.0,0.0465,0.0,0.0,0.0,0.0,0.00895,0.22431,0.0,0.0,0.0,0.0,2.557,0.0,0.0,0.12,0.0,0.0,70.0,70.0,70.0,59.022,0.0,0.0,32.0,27.729,60.0,11.408,0.951,1.902
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,3.603,1.056,0.619,0.0,0.0,0.0,0.179,0.018,0.0,0.041,0.0,0.0,0.0,0.0,0.006,0.194,0.94174,0.94174,0.94174,0.94174,0.55165,0.0,0.0,0.0,0.15944,0.01579,0.0,0.03626,0.0,0.0,0.0,0.0,0.00547,0.17313,0.0,0.0,0.0,0.0,2.111,0.0,0.0,0.119,0.0,0.0,70.0,70.0,70.0,54.276,0.0,0.0,33.8,28.777,56.0,9.171,23.775,6.657
2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,3.048,0.893,0.455,0.0,0.0,0.0,0.184,0.015,0.0,0.041,0.0,0.0,0.0,0.0,0.005,0.194,0.67764,0.67764,0.67764,0.67764,0.34519,0.0,0.0,0.0,0.13925,0.01139,0.0,0.03085,0.0,0.0,0.0,0.0,0.00368,0.14728,0.0,0.0,0.0,0.0,1.553,0.0,0.0,0.118,0.0,0.0,70.0,70.0,70.0,49.917,0.0,0.0,37.4,32.357,58.0,8.053,39.942,6.023
2007-01-01T11:00:00,2007-01-01T11:00:00,2007-01-01T17:00:00Z,6.176,1.81,0.524,0.0,0.0,0.857,0.179,0.012,0.0,0.04,0.0,0.0,0.0,0.0,0.005,0.194,1.35555,1.35555,1.35555,1.35555,0.39251,0.0,0.0,0.64149,0.13389,0.00884,0.0,0.02971,0.0,0.0,0.0,0.0,0.00372,0.1454,0.0,0.0,2.254,0.889,1.788,0.0,2.012,0.121,0.0,0.0,70.0,70.0,70.0,54.88,0.0,0.0,37.4,32.973,63.0,11.408,50.403,5.706
2007-01-01T12:00:00,2007-01-01T12:00:00,2007-01-01T18:00:00Z,2.675,0.784,0.361,0.0,0.0,0.0,0.173,0.008,0.0,0.04,0.0,0.0,0.0,0.0,0.005,0.197,0.58495,0.58495,0.58495,0.58495,0.26963,0.0,0.0,0.0,0.1288,0.006,0.0,0.0296,0.0,0.0,0.0,0.0,0.00379,0.14712,0.0,0.0,0.0,0.0,1.233,0.0,0.0,0.125,0.0,0.0,70.0,70.0,70.0,48.368,0.0,0.0,39.2,35.344,69.0,8.053,48.501,0.0
2007-01-01T13:00:00,2007-01-01T13:00:00,2007-01-01T19:00:00Z,3.686,1.08,0.196,0.0,0.0,0.261,0.168,0.006,0.0,0.042,0.202,0.0,0.0,0.0,0.005,0.2,0.80292,0.80292,0.80292,0.80292,0.14566,0.0,0.0,0.19426,0.12476,0.00478,0.0,0.03096,0.15021,0.0,0.0,0.0,0.00369,0.1486,0.0,1.739,0.0,0.0,0.669,0.0,1.115,0.122,0.0,0.0,70.0,70.0,70.0,45.199,0.0,0.0,42.8,38.041,65.0,8.053,47.867,1.902
